Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
2/6/18,Brush Creek Rd,5,0,0,0
2/7/18,Brush Creek Rd,6,0,0,0
2/8/18,Brush Creek Rd,6,0,0,0
2/9/18,Brush Creek Rd,9,1,0,0
2/10/18,Brush Creek Rd,5,0,0,0
2/11/18,Brush Creek Rd,11,0,0,0
2/12/18,Brush Creek Rd,1,0,0,0
2/13/18,Brush Creek Rd,0,0,0,0
2/14/18,Brush Creek Rd,3,1,0,0
2/15/18,Brush Creek Rd,5,0,0,0
2/16/18,Brush Creek Rd,6,0,0,0
2/17/18,Brush Creek Rd,24,1,3,1
2/18/18,Brush Creek Rd,21,2,3,0
2/19/18,Brush Creek Rd,1,0,0,0
2/20/18,Brush Creek Rd,0,0,0,0
2/21/18,Brush Creek Rd,9,0,0,0
2/22/18,Brush Creek Rd,2,0,0,0
2/23/18,Brush Creek Rd,12,0,0,0
2/24/18,Brush Creek Rd,18,0,2,0
2/25/18,Brush Creek Rd,8,4,1,0
2/26/18,Brush Creek Rd,2,0,3,0
2/27/18,Brush Creek Rd,,,,
2/28/18,Brush Creek Rd,,,,
3/1/18,Brush Creek Rd,,,,
3/2/18,Brush Creek Rd,,,,
3/3/18,Brush Creek Rd,,,,
3/4/18,Brush Creek Rd,,,,
3/5/18,Brush Creek Rd,,,,
3/6/18,Brush Creek Rd,0,1,0,0
3/7/18,Brush Creek Rd,6,2,0,0
3/8/18,Brush Creek Rd,4,0,0,0
3/9/18,Brush Creek Rd,,,,
3/10/18,Brush Creek Rd,,,,
3/11/18,Brush Creek Rd,,,,
3/12/18,Brush Creek Rd,,,,
3/13/18,Brush Creek Rd,,,,
3/14/18,Brush Creek Rd,,,,
3/15/18,Brush Creek Rd,,,,
3/16/18,Brush Creek Rd,,,,
3/17/18,Brush Creek Rd,,,,
3/18/18,Brush Creek Rd,,,,
3/19/18,Brush Creek Rd,,,,
3/20/18,Brush Creek Rd,9,0,0,0
3/21/18,Brush Creek Rd,274,8,2,0
3/22/18,Brush Creek Rd,10,1,1,0
3/23/18,Brush Creek Rd,6,0,0,0
3/24/18,Brush Creek Rd,3,2,0,1
3/25/18,Brush Creek Rd,2,0,0,0
3/26/18,Brush Creek Rd,2,4,0,2
3/27/18,Brush Creek Rd,2,0,0,0
3/28/18,Brush Creek Rd,7,0,0,0
3/29/18,Brush Creek Rd,6,0,3,0
3/30/18,Brush Creek Rd,0,1,0,0
3/31/18,Brush Creek Rd,0,0,0,0
4/1/18,Brush Creek Rd,3,0,0,0
4/2/18,Brush Creek Rd,0,0,0,0
4/3/18,Brush Creek Rd,0,0,0,0
4/4/18,Brush Creek Rd,0,0,0,0
4/5/18,Brush Creek Rd,0,0,0,0
