Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2018-12-01,Brush Creek Trailhead,0,0,0,0
2018-12-02,Brush Creek Trailhead,0,0,0,0
2018-12-03,Brush Creek Trailhead,0,0,0,0
2018-12-04,Brush Creek Trailhead,0,0,0,0
2018-12-05,Brush Creek Trailhead,0,0,0,0
2018-12-06,Brush Creek Trailhead,8,0,0,0
2018-12-07,Brush Creek Trailhead,13,0,0,0
2018-12-08,Brush Creek Trailhead,11,0,0,0
2018-12-09,Brush Creek Trailhead,26,0,0,0
2018-12-10,Brush Creek Trailhead,5,0,0,0
2018-12-11,Brush Creek Trailhead,5,0,0,0
2018-12-12,Brush Creek Trailhead,3,0,0,0
2018-12-13,Brush Creek Trailhead,3,0,0,0
2018-12-14,Brush Creek Trailhead,1,0,0,0
2018-12-15,Brush Creek Trailhead,19,0,1,0
2018-12-16,Brush Creek Trailhead,10,0,0,0
2018-12-17,Brush Creek Trailhead,5,0,0,0
2018-12-18,Brush Creek Trailhead,12,0,1,0
2018-12-19,Brush Creek Trailhead,11,0,0,0
2018-12-20,Brush Creek Trailhead,12,0,0,0
2018-12-21,Brush Creek Trailhead,7,0,0,0
2018-12-22,Brush Creek Trailhead,11,0,0,0
2018-12-23,Brush Creek Trailhead,17,0,0,0
2018-12-24,Brush Creek Trailhead,1,0,0,0
2018-12-25,Brush Creek Trailhead,14,0,0,0
2018-12-26,Brush Creek Trailhead,21,0,0,0
2018-12-27,Brush Creek Trailhead,14,0,0,0
2018-12-28,Brush Creek Trailhead,16,0,0,0
2018-12-29,Brush Creek Trailhead,38,0,0,0
2018-12-30,Brush Creek Trailhead,29,0,0,0
2018-12-31,Brush Creek Trailhead,2,0,0,0
2019-01-01,Brush Creek Trailhead,22,0,0,0
2019-01-02,Brush Creek Trailhead,22,0,0,0
2019-01-03,Brush Creek Trailhead,6,0,0,0
2019-01-04,Brush Creek Trailhead,9,0,0,0
2019-01-05,Brush Creek Trailhead,19,0,0,0
2019-01-06,Brush Creek Trailhead,6,0,0,0
