Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
12/1/18,Gothic Rd,23,0,1,0
12/2/18,Gothic Rd,25,0,0,0
12/3/18,Gothic Rd,14,1,0,0
12/4/18,Gothic Rd,9,1,1,1
12/5/18,Gothic Rd,19,0,0,0
12/6/18,Gothic Rd,14,2,0,2
12/7/18,Gothic Rd,13,1,0,0
12/8/18,Gothic Rd,38,1,5,0
12/9/18,Gothic Rd,32,0,6,0
12/10/18,Gothic Rd,12,2,2,0
12/11/18,Gothic Rd,18,1,1,0
12/12/18,Gothic Rd,13,0,1,0
12/13/18,Gothic Rd,9,0,2,0
12/14/18,Gothic Rd,0,0,0,0
12/15/18,Gothic Rd,9,1,6,1
12/16/18,Gothic Rd,63,0,6,0
12/17/18,Gothic Rd,16,0,4,0
12/18/18,Gothic Rd,0,0,0,0
12/19/18,Gothic Rd,28,0,0,0
12/20/18,Gothic Rd,42,1,2,0
12/21/18,Gothic Rd,46,0,6,0
12/22/18,Gothic Rd,54,0,0,0
12/23/18,Gothic Rd,44,0,4,0
12/24/18,Gothic Rd,,,,
12/25/18,Gothic Rd,,,,
12/26/18,Gothic Rd,,,,
12/27/18,Gothic Rd,,,,
12/28/18,Gothic Rd,1,0,0,0
12/29/18,Gothic Rd,126,8,6,0
12/30/18,Gothic Rd,79,0,13,0
12/31/18,Gothic Rd,4,0,0,0
1/1/19,Gothic Rd,60,0,3,0
1/2/19,Gothic Rd,48,1,1,0
1/3/19,Gothic Rd,53,0,0,0
1/4/19,Gothic Rd,7,0,2,0
1/5/19,Gothic Rd,0,0,0,0
1/6/19,Gothic Rd,0,0,0,0
1/7/19,Gothic Rd,0,0,0,0
1/8/19,Gothic Rd,0,0,0,0
1/9/19,Gothic Rd,22,0,0,0
1/10/19,Gothic Rd,37,0,3,0
1/11/19,Gothic Rd,47,0,2,0
1/12/19,Gothic Rd,48,0,1,0
1/13/19,Gothic Rd,0,0,0,0
1/14/19,Gothic Rd,11,1,0,0
1/15/19,Gothic Rd,40,0,1,0
1/16/19,Gothic Rd,9,0,0,0
1/17/19,Gothic Rd,14,0,0,0
1/18/19,Gothic Rd,1,0,0,0
1/19/19,Gothic Rd,105,2,0,0
1/20/19,Gothic Rd,137,12,3,0
1/21/19,Gothic Rd,,,,
1/22/19,Gothic Rd,19,2,0,0
1/23/19,Gothic Rd,17,0,0,0
1/24/19,Gothic Rd,8,1,12,0
1/25/19,Gothic Rd,38,0,50,0
1/26/19,Gothic Rd,111,3,6,0
1/27/19,Gothic Rd,61,0,2,0
1/28/19,Gothic Rd,3,0,0,0
1/29/19,Gothic Rd,0,0,0,0
1/30/19,Gothic Rd,0,0,0,0
1/31/19,Gothic Rd,0,0,0,0
2/1/19,Gothic Rd,6,0,1,0
2/2/19,Gothic Rd,72,0,9,0
2/3/19,Gothic Rd,25,0,2,0
2/4/19,Gothic Rd,22,0,0,0
2/5/19,Gothic Rd,6,0,0,0
2/6/19,Gothic Rd,18,0,0,0
2/7/19,Gothic Rd,10,0,0,0
2/8/19,Gothic Rd,24,0,0,0
2/9/19,Gothic Rd,59,0,2,0
2/10/19,Gothic Rd,68,0,5,0
2/11/19,Gothic Rd,31,0,0,0
2/12/19,Gothic Rd,31,0,3,0
2/13/19,Gothic Rd,21,0,2,0
2/14/19,Gothic Rd,19,0,0,0
2/15/19,Gothic Rd,3,0,0,0
2/16/19,Gothic Rd,3,0,0,0
2/17/19,Gothic Rd,38,0,2,0
2/18/19,Gothic Rd,16,0,0,0
2/19/19,Gothic Rd,13,1,0,0
2/20/19,Gothic Rd,15,0,0,0
2/21/19,Gothic Rd,24,0,0,0
2/22/19,Gothic Rd,24,0,0,0
2/23/19,Gothic Rd,140,0,1,0
2/24/19,Gothic Rd,50,1,1,0
2/25/19,Gothic Rd,36,0,2,0
2/26/19,Gothic Rd,34,0,2,0
2/27/19,Gothic Rd,51,0,6,0
2/28/19,Gothic Rd,28,0,0,0
3/1/19,Gothic Rd,17,0,0,0
3/2/19,Gothic Rd,20,0,0,0
3/3/19,Gothic Rd,6,0,0,0
3/4/19,Gothic Rd,0,0,0,0
3/5/19,Gothic Rd,8,0,0,0
3/6/19,Gothic Rd,12,0,0,0
3/7/19,Gothic Rd,0,0,0,0
3/8/19,Gothic Rd,0,0,0,0
3/9/19,Gothic Rd,0,0,0,0
3/10/19,Gothic Rd,0,0,0,0
3/11/19,Gothic Rd,9,0,0,0
3/12/19,Gothic Rd,7,0,1,0
3/13/19,Gothic Rd,0,0,0,0
3/14/19,Gothic Rd,9,0,0,0
3/15/19,Gothic Rd,7,0,0,0
3/16/19,Gothic Rd,17,0,1,0
3/17/19,Gothic Rd,26,0,2,0
3/18/19,Gothic Rd,19,1,0,0
3/19/19,Gothic Rd,0,0,0,0
3/20/19,Gothic Rd,0,0,0,0
3/21/19,Gothic Rd,0,0,0,0
3/22/19,Gothic Rd,0,0,0,0
3/23/19,Gothic Rd,0,0,0,0
3/24/19,Gothic Rd,0,0,0,0
3/25/19,Gothic Rd,4,0,0,0
3/26/19,Gothic Rd,31,0,0,0
3/27/19,Gothic Rd,21,0,5,0
3/28/19,Gothic Rd,21,0,1,0
3/29/19,Gothic Rd,16,0,1,0
3/30/19,Gothic Rd,37,0,3,0
3/31/19,Gothic Rd,10,0,0,0
4/1/19,Gothic Rd,0,0,0,0
4/2/19,Gothic Rd,0,0,0,0
4/3/19,Gothic Rd,0,0,0,0
4/4/19,Gothic Rd,0,0,0,0
4/5/19,Gothic Rd,0,0,0,0
4/6/19,Gothic Rd,0,0,0,0
4/7/19,Gothic Rd,0,0,0,0
4/8/19,Gothic Rd,0,0,0,0
4/9/19,Gothic Rd,0,0,0,0
4/10/19,Gothic Rd,0,0,0,0
4/11/19,Gothic Rd,0,0,0,0
4/12/19,Gothic Rd,0,0,0,0
4/13/19,Gothic Rd,0,0,0,0
4/14/19,Gothic Rd,0,0,0,0
4/15/19,Gothic Rd,0,0,0,0
