Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
12/1/18,Kebler,,,,
12/2/18,Kebler,,,,
12/3/18,Kebler,,,,
12/4/18,Kebler,,,,
12/5/18,Kebler,0,4,0,0
12/6/18,Kebler,0,7,0,0
12/7/18,Kebler,4,8,0,0
12/8/18,Kebler,9,30,0,0
12/9/18,Kebler,0,26,1,0
12/10/18,Kebler,0,19,0,0
12/11/18,Kebler,1,10,0,0
12/12/18,Kebler,3,6,0,0
12/13/18,Kebler,0,13,0,0
12/14/18,Kebler,1,23,0,0
12/15/18,Kebler,1,20,0,0
12/16/18,Kebler,6,20,0,0
12/17/18,Kebler,1,15,0,0
12/18/18,Kebler,1,18,0,0
12/19/18,Kebler,0,12,0,0
12/20/18,Kebler,0,5,0,0
12/21/18,Kebler,6,24,0,0
12/22/18,Kebler,,,,
12/23/18,Kebler,18,44,0,0
12/24/18,Kebler,0,12,1,0
12/25/18,Kebler,0,69,0,0
12/26/18,Kebler,2,89,0,0
12/27/18,Kebler,6,46,0,0
12/28/18,Kebler,3,62,0,0
12/29/18,Kebler,6,179,0,2
12/30/18,Kebler,13,167,0,0
12/31/18,Kebler,1,38,0,0
1/1/19,Kebler,2,88,0,0
1/2/19,Kebler,2,116,0,0
1/3/19,Kebler,0,172,0,8
1/4/19,Kebler,0,148,0,9
1/5/19,Kebler,5,96,2,3
1/6/19,Kebler,,,,
1/7/19,Kebler,,,,
1/8/19,Kebler,3,48,0,2
1/9/19,Kebler,7,56,0,7
1/10/19,Kebler,4,72,4,1
1/11/19,Kebler,0,41,1,2
1/12/19,Kebler,0,26,1,2
1/13/19,Kebler,2,41,1,3
1/14/19,Kebler,0,25,0,2
1/15/19,Kebler,8,54,0,7
1/16/19,Kebler,,,,
1/17/19,Kebler,5,19,0,5
1/18/19,Kebler,9,8,0,0
1/19/19,Kebler,14,81,0,6
1/20/19,Kebler,5,98,0,8
1/21/19,Kebler,0,12,0,0
1/22/19,Kebler,,,,
1/23/19,Kebler,,,,
1/24/19,Kebler,,,,
1/25/19,Kebler,,,,
1/26/19,Kebler,,,,
1/27/19,Kebler,,,,
1/28/19,Kebler,,,,
1/29/19,Kebler,0,79,0,0
1/30/19,Kebler,4,74,0,12
1/31/19,Kebler,3,91,0,20
2/1/19,Kebler,0,99,1,8
2/2/19,Kebler,1,113,0,10
2/3/19,Kebler,2,64,0,2
2/4/19,Kebler,2,77,0,11
2/5/19,Kebler,1,49,0,6
2/6/19,Kebler,0,0,0,0
2/7/19,Kebler,0,25,0,3
2/8/19,Kebler,0,59,0,5
2/9/19,Kebler,0,0,0,0
2/10/19,Kebler,0,0,0,0
2/11/19,Kebler,0,7,0,0
2/12/19,Kebler,1,21,0,0
2/13/19,Kebler,0,45,0,0
2/14/19,Kebler,1,7,0,0
2/15/19,Kebler,1,38,0,0
2/16/19,Kebler,0,0,0,0
2/17/19,Kebler,9,117,0,5
2/18/19,Kebler,6,75,0,5
2/19/19,Kebler,0,0,0,0
2/20/19,Kebler,0,0,0,0
2/21/19,Kebler,0,0,0,0
2/22/19,Kebler,0,0,0,0
2/23/19,Kebler,1,66,0,4
2/24/19,Kebler,0,0,0,0
2/25/19,Kebler,0,22,0,2
2/26/19,Kebler,1,77,0,10
2/27/19,Kebler,2,102,0,5
2/28/19,Kebler,1,60,0,6
3/1/19,Kebler,0,34,1,1
3/2/19,Kebler,4,113,0,0
3/3/19,Kebler,0,49,0,0
3/4/19,Kebler,0,27,0,0
3/5/19,Kebler,3,96,1,5
3/6/19,Kebler,0,82,0,5
3/7/19,Kebler,0,0,0,0
3/8/19,Kebler,0,10,0,0
3/9/19,Kebler,2,29,0,0
3/10/19,Kebler,7,64,0,6
3/11/19,Kebler,0,89,0,1
3/12/19,Kebler,0,70,0,1
3/13/19,Kebler,0,0,0,0
3/14/19,Kebler,0,2,0,0
3/15/19,Kebler,0,36,0,1
3/16/19,Kebler,1,103,0,0
3/17/19,Kebler,7,103,1,0
3/18/19,Kebler,0,85,0,2
3/19/19,Kebler,2,138,0,2
3/20/19,Kebler,2,194,0,2
3/21/19,Kebler,3,167,2,7
3/22/19,Kebler,1,46,1,9
3/23/19,Kebler,3,128,0,12
3/24/19,Kebler,4,63,2,7
3/25/19,Kebler,2,110,2,17
3/26/19,Kebler,4,67,0,0
3/27/19,Kebler,9,82,0,0
3/28/19,Kebler,2,91,0,2
3/29/19,Kebler,0,19,0,2
3/30/19,Kebler,1,81,0,2
3/31/19,Kebler,4,94,2,16
4/1/19,Kebler,0,59,0,17
4/2/19,Kebler,0,42,0,13
4/3/19,Kebler,3,46,0,21
4/4/19,Kebler,1,45,0,6
4/5/19,Kebler,0,47,0,7
4/6/19,Kebler,1,55,0,16
4/7/19,Kebler,0,31,0,0
4/8/19,Kebler,3,32,3,7
4/9/19,Kebler,0,32,1,2
4/10/19,Kebler,0,7,0,0
4/11/19,Kebler,0,0,0,0
4/12/19,Kebler,0,31,0,4
4/13/19,Kebler,4,61,0,29
4/14/19,Kebler,1,45,0,14
4/15/19,Kebler,2,16,0,5
