Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
12/6/2019,Slate River,4,3,0,2
12/7/2019,Slate River,35,5,1,9
12/8/2019,Slate River,6,2,1,4
12/9/2019,Slate River,10,0,0,6
12/10/2019,Slate River,19,0,0,3
12/11/2019,Slate River,9,0,0,5
12/12/2019,Slate River,18,0,0,4
12/13/2019,Slate River,3,1,0,1
12/14/2019,Slate River,12,1,0,0
12/15/2019,Slate River,14,0,0,3
12/16/2019,Slate River,6,1,0,3
12/17/2019,Slate River,6,1,0,1
12/18/2019,Slate River,15,0,0,7
12/19/2019,Slate River,16,1,0,3
12/20/2019,Slate River,12,2,1,4
12/21/2019,Slate River,24,3,0,7
12/22/2019,Slate River,40,2,0,13
12/23/2019,Slate River,26,0,0,3
12/24/2019,Slate River,29,1,1,4
12/25/2019,Slate River,31,1,0,5
12/26/2019,Slate River,42,0,0,4
12/27/2019,Slate River,29,0,0,8
12/28/2019,Slate River,25,0,0,5
12/29/2019,Slate River,32,0,0,16
12/30/2019,Slate River,NA,NA,NA,NA
12/31/2019,Slate River,NA,NA,NA,NA
1/1/2020,Slate River,NA,NA,NA,NA
1/2/2020,Slate River,NA,NA,NA,NA
1/3/2020,Slate River,NA,NA,NA,NA
1/4/2020,Slate River,NA,NA,NA,NA
1/5/2020,Slate River,NA,NA,NA,NA
1/6/2020,Slate River,NA,NA,NA,NA
1/7/2020,Slate River,NA,NA,NA,NA
1/8/2020,Slate River,NA,NA,NA,NA
1/7/2020,Slate River,NA,NA,NA,NA
1/8/2020,Slate River,NA,NA,NA,NA
1/9/2020,Slate River,NA,NA,NA,NA
1/10/2020,Slate River,NA,NA,NA,NA
1/11/2020,Slate River,13,0,0,0
1/12/2020,Slate River,33,1,0,17
1/13/2020,Slate River,0,1,0,1
1/14/2020,Slate River,7,0,0,5
1/15/2020,Slate River,19,0,0,8
1/16/2020,Slate River,6,0,0,6
1/17/2020,Slate River,NA,NA,NA,NA
1/18/2020,Slate River,NA,NA,NA,NA
1/19/2020,Slate River,31,0,0,2
1/20/2020,Slate River,17,2,2,7
1/21/2020,Slate River,3,1,0,10
1/22/2020,Slate River,10,2,0,1
1/23/2020,Slate River,9,0,0,4
1/24/2020,Slate River,19,2,0,5
1/25/2020,Slate River,27,0,1,12
1/26/2020,Slate River,31,2,0,5
1/27/2020,Slate River,7,0,0,3
1/28/2020,Slate River,11,0,0,6
1/29/2020,Slate River,13,0,0,5
1/30/2020,Slate River,17,0,0,12
1/31/2020,Slate River,27,2,0,14
2/1/2020,Slate River,61,0,0,4
2/2/2020,Slate River,46,0,0,4
2/3/2020,Slate River,16,0,0,7
2/4/2020,Slate River,6,0,0,0
2/5/2020,Slate River,15,1,1,2
2/6/2020,Slate River,25,0,0,3
2/7/2020,Slate River,3,0,0,0
2/8/2020,Slate River,24,0,0,1
2/9/2020,Slate River,18,0,0,8
2/10/2020,Slate River,14,0,0,9
2/11/2020,Slate River,10,0,0,5
2/12/2020,Slate River,15,1,0,4
2/13/2020,Slate River,2,0,0,4
2/14/2020,Slate River,13,1,0,5
2/15/2020,Slate River,33,2,0,18
2/16/2020,Slate River,19,0,0,4
2/17/2020,Slate River,14,0,0,1
2/18/2020,Slate River,13,0,0,2
2/19/2020,Slate River,18,0,0,2
2/20/2020,Slate River,26,0,0,3
2/21/2020,Slate River,31,2,0,4
