Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
12/6/2019,Washington Gulch,0,0,0,1
12/7/2019,Washington Gulch,22,1,0,6
12/8/2019,Washington Gulch,27,3,0,0
12/9/2019,Washington Gulch,3,0,0,3
12/10/2019,Washington Gulch,5,0,0,0
12/11/2019,Washington Gulch,11,0,1,3
12/12/2019,Washington Gulch,NA,NA,NA,NA
12/13/2019,Washington Gulch,NA,NA,NA,NA
12/14/2019,Washington Gulch,NA,NA,NA,NA
12/15/2019,Washington Gulch,NA,NA,NA,NA
12/16/2019,Washington Gulch,NA,NA,NA,NA
12/17/2019,Washington Gulch,NA,NA,NA,NA
12/18/2019,Washington Gulch,NA,NA,NA,NA
12/19/2019,Washington Gulch,NA,NA,NA,NA
12/20/2019,Washington Gulch,NA,NA,NA,NA
12/21/2019,Washington Gulch,NA,NA,NA,NA
12/22/2019,Washington Gulch,NA,NA,NA,NA
12/23/2019,Washington Gulch,NA,NA,NA,NA
12/24/2019,Washington Gulch,NA,NA,NA,NA
12/25/2019,Washington Gulch,NA,NA,NA,NA
12/26/2019,Washington Gulch,NA,NA,NA,NA
12/27/2019,Washington Gulch,NA,NA,NA,NA
12/28/2019,Washington Gulch,NA,NA,NA,NA
12/29/2019,Washington Gulch,NA,NA,NA,NA
12/30/2019,Washington Gulch,NA,NA,NA,NA
12/31/2019,Washington Gulch,NA,NA,NA,NA
1/1/2020,Washington Gulch,NA,NA,NA,NA
1/2/2020,Washington Gulch,NA,NA,NA,NA
1/3/2020,Washington Gulch,NA,NA,NA,NA
1/4/2020,Washington Gulch,NA,NA,NA,NA
1/5/2020,Washington Gulch,NA,NA,NA,NA
1/6/2020,Washington Gulch,NA,NA,NA,NA
1/7/2020,Washington Gulch,NA,NA,NA,NA
1/8/2020,Washington Gulch,NA,NA,NA,NA
1/9/2020,Washington Gulch,NA,NA,NA,NA
1/10/2020,Washington Gulch,NA,NA,NA,NA
1/11/2020,Washington Gulch,NA,NA,NA,NA
1/12/2020,Washington Gulch,NA,NA,NA,NA
1/13/2020,Washington Gulch,NA,NA,NA,NA
1/14/2020,Washington Gulch,NA,NA,NA,NA
1/15/2020,Washington Gulch,NA,NA,NA,NA
1/16/2020,Washington Gulch,NA,NA,NA,NA
1/17/2020,Washington Gulch,NA,NA,NA,NA
1/18/2020,Washington Gulch,NA,NA,NA,NA
1/19/2020,Washington Gulch,NA,NA,NA,NA
1/20/2020,Washington Gulch,NA,NA,NA,NA
1/21/2020,Washington Gulch,NA,NA,NA,NA
1/22/2020,Washington Gulch,NA,NA,NA,NA
1/23/2020,Washington Gulch,NA,NA,NA,NA
1/24/2020,Washington Gulch,NA,NA,NA,NA
1/25/2020,Washington Gulch,NA,NA,NA,NA
1/26/2020,Washington Gulch,NA,NA,NA,NA
1/27/2020,Washington Gulch,NA,NA,NA,NA
1/28/2020,Washington Gulch,NA,NA,NA,NA
1/29/2020,Washington Gulch,NA,NA,NA,NA
1/30/2020,Washington Gulch,NA,NA,NA,NA
1/31/2020,Washington Gulch,25,0,0,0
2/1/2020,Washington Gulch,43,17,0,6
2/2/2020,Washington Gulch,78,1,1,3
2/3/2020,Washington Gulch,11,1,0,0
2/4/2020,Washington Gulch,6,2,0,0
2/5/2020,Washington Gulch,5,2,1,3
2/6/2020,Washington Gulch,NA,NA,NA,NA
2/7/2020,Washington Gulch,NA,NA,NA,NA
2/8/2020,Washington Gulch,35,6,0,0
2/9/2020,Washington Gulch,36,4,0,0
2/10/2020,Washington Gulch,15,0,0,0
2/11/2020,Washington Gulch,11,4,0,2
2/12/2020,Washington Gulch,13,4,0,1
2/13/2020,Washington Gulch,13,0,0,0
2/14/2020,Washington Gulch,32,1,0,10
2/15/2020,Washington Gulch,57,2,0,2
2/16/2020,Washington Gulch,53,0,0,0
2/17/2020,Washington Gulch,14,0,0,2
2/18/2020,Washington Gulch,31,1,0,0
