Date,Non-motorized,Motorized,Hybrid,Mechanized
12/3/2020,6,0,0,0
12/4/2020,16,0,0,0
12/5/2020,33,0,0,0
12/6/2020,36,0,0,0
12/7/2020,14,0,0,0
12/8/2020,26,0,0,2
12/9/2020,16,0,0,0
12/10/2020,23,0,0,1
12/11/2020,11,0,0,0
12/12/2020,9,0,0,0
12/13/2020,23,0,0,0
12/14/2020,9,0,0,1
12/15/2020,10,0,0,0
12/16/2020,5,0,0,0
12/17/2020,11,0,0,1
12/18/2020,6,0,0,0
12/19/2020,18,0,0,0
12/20/2020,18,0,0,1
12/21/2020,23,0,0,0
12/22/2020,15,0,0,0
12/23/2020,3,0,0,0
12/24/2020,26,0,0,0
12/25/2020,10,0,0,0
12/26/2020,47,0,0,0
12/27/2020,17,0,0,0
12/28/2020,5,0,0,0
12/29/2020,29,0,0,0
12/30/2020,31,0,0,2
12/31/2020,41,0,0,1
1/1/2021,39,0,0,0
1/2/2021,33,0,0,2
1/3/2021,40,0,0,1
1/4/2021,13,0,0,0
1/5/2021,6,0,0,0
1/6/2021,11,0,0,0
1/7/2021,15,0,0,0
1/8/2021,15,0,0,0
1/9/2021,22,0,0,0
1/10/2021,27,1,0,0
1/11/2021,19,0,0,0
1/12/2021,15,0,0,0
1/13/2021,15,0,0,0
1/14/2021,17,0,0,0
1/15/2021,21,0,0,0
1/16/2021,11,0,0,1
1/17/2021,31,0,0,0
1/18/2021,15,0,0,2
1/19/2021,17,0,0,1
1/20/2021,14,0,0,0
1/21/2021,5,0,0,1
1/22/2021,11,0,0,0
1/23/2021,27,0,0,0
1/24/2021,9,0,0,0
1/25/2021,9,0,0,0
1/26/2021,10,0,0,0
1/27/2021,8,0,0,0
1/28/2021,11,0,0,0
1/29/2021,14,0,0,0
1/30/2021,25,0,0,0
1/31/2021,8,0,0,0
2/1/2021,12,0,0,0
2/2/2021,5,0,0,0
2/3/2021,1,0,0,0
2/4/2021,8,0,0,0
2/5/2021,10,0,0,0
2/6/2021,23,0,0,0
2/7/2021,38,0,0,0
2/8/2021,7,0,0,0
2/9/2021,5,0,0,0
2/10/2021,12,0,0,0
2/11/2021,12,0,0,0
2/12/2021,6,0,0,0
2/13/2021,17,0,0,0
2/14/2021,14,0,0,0
2/15/2021,10,0,0,0
2/16/2021,5,0,0,0
2/17/2021,8,0,0,0
2/18/2021,11,0,0,0
2/19/2021,11,0,0,0
2/20/2021,18,0,0,0
2/21/2021,35,0,0,0
2/22/2021,16,0,0,0
2/23/2021,12,0,0,0
2/24/2021,5,0,0,0
2/25/2021,30,0,0,0
2/26/2021,25,0,0,0
2/27/2021,14,0,0,0
2/28/2021,16,0,0,0
3/1/2021,11,0,0,0
3/2/2021,8,0,0,0
3/3/2021,9,0,0,0
3/4/2021,7,0,0,0
3/5/2021,14,0,0,1
3/6/2021,22,0,0,0
3/7/2021,13,0,0,0
3/8/2021,9,0,0,0
3/9/2021,14,0,0,0
3/10/2021,7,0,0,0
3/11/2021,9,0,0,0
3/12/2021,11,0,0,0
3/13/2021,21,0,0,0
3/14/2021,10,0,0,0
3/15/2021,6,0,0,0
3/16/2021,5,0,0,0
3/17/2021,4,0,0,0
3/18/2021,11,0,0,0
3/19/2021,14,0,0,0
3/20/2021,22,0,0,0
3/21/2021,24,0,0,0
3/22/2021,4,0,0,0
3/23/2021,12,0,0,0
3/24/2021,10,0,0,0
3/25/2021,9,0,0,0
3/26/2021,11,0,0,0
3/27/2021,16,0,0,0
3/28/2021,17,0,0,0
3/29/2021,11,0,0,0
3/30/2021,7,0,0,0
3/31/2021,11,0,0,0
4/1/2021,13,0,0,0
4/2/2021,8,0,0,0
4/3/2021,17,0,0,0
4/4/2021,4,0,0,0
4/5/2021,4,0,0,0
4/6/2021,7,0,0,0
4/7/2021,7,0,0,0
4/8/2021,7,0,0,0
4/9/2021,8,0,0,0
4/10/2021,34,0,0,2
4/11/2021,11,0,0,2
4/12/2021,9,0,0,0
4/13/2021,9,0,0,1
4/14/2021,9,0,0,0
4/15/2021,12,0,0,0
