Date,Non-motorized,Motorized,Hybrid,Mechanized
1/15/2021,3,0,0,0
1/16/2021,36,4,2,1
1/17/2021,35,1,2,2
1/18/2021,27,0,0,5
1/19/2021,11,0,0,0
1/20/2021,22,0,0,0
1/21/2021,24,0,0,0
1/22/2021,19,0,0,0
1/23/2021,16,0,0,0
1/24/2021,11,2,0,1
1/25/2021,13,0,0,1
1/26/2021,10,0,0,0
1/27/2021,15,0,0,0
1/28/2021,18,0,0,0
1/29/2021,17,2,0,0
1/30/2021,26,1,0,0
1/31/2021,36,0,0,1
2/1/2021,14,0,0,0
2/2/2021,10,0,0,0
2/3/2021,4,0,0,0
2/4/2021,9,0,0,0
2/5/2021,6,0,0,0
2/6/2021,NA,NA,NA,NA
2/7/2021,3,1,0,0
2/8/2021,18,1,2,0
2/9/2021,13,0,0,0
2/10/2021,8,0,0,0
2/11/2021,12,0,0,0
2/12/2021,11,0,0,0
2/13/2021,31,1,0,0
2/14/2021,24,1,0,0
2/15/2021,13,0,0,0
2/16/2021,10,0,1,0
2/17/2021,18,0,0,0
2/18/2021,5,0,0,0
2/19/2021,17,0,0,0
2/20/2021,27,0,0,0
2/21/2021,27,0,0,0
2/22/2021,12,0,0,0
2/23/2021,10,0,0,0
2/24/2021,14,0,0,0
2/25/2021,27,0,0,0
2/26/2021,9,0,0,0
2/27/2021,17,1,0,0
2/28/2021,47,0,0,1
3/1/2021,9,0,0,0
3/2/2021,20,0,0,0
3/3/2021,17,0,0,0
3/4/2021,6,0,0,0
3/5/2021,6,0,0,1
3/6/2021,23,2,0,0
3/7/2021,29,0,0,0
3/8/2021,19,0,0,0
3/9/2021,13,0,0,0
3/10/2021,14,0,0,0
3/11/2021,17,0,0,0
3/12/2021,19,0,0,0
3/13/2021,21,2,1,0
3/14/2021,26,0,0,1
3/15/2021,22,0,0,0
3/16/2021,8,0,0,0
3/17/2021,10,0,0,0
3/18/2021,8,2,2,0
3/19/2021,16,1,0,0
3/20/2021,23,0,0,0
3/21/2021,24,0,0,1
3/22/2021,NA,NA,NA,NA
3/23/2021,16,0,2,0
3/24/2021,7,0,0,1
3/25/2021,6,0,0,0
3/26/2021,10,0,2,0
3/27/2021,18,0,2,0
3/28/2021,21,0,0,2
3/29/2021,14,0,1,1
3/30/2021,7,0,0,0
3/31/2021,19,0,0,0
4/1/2021,23,0,0,0
4/2/2021,18,0,0,1
4/3/2021,28,0,0,4
4/4/2021,9,0,0,1
4/5/2021,23,0,0,1
4/6/2021,11,0,0,0
4/7/2021,35,0,0,1
4/8/2021,18,0,0,2
4/9/2021,10,0,0,0
4/10/2021,30,0,0,1
4/11/2021,22,0,0,0
4/12/2021,11,0,0,0
4/13/2021,7,0,0,0
4/14/2021,0,0,0,0
4/15/2021,5,0,0,0
