Date,Non-motorized,Motorized,Hybrid,Mechanized
12/3/2020,0,17,0,2
12/4/2020,0,5,0,1
12/5/2020,0,12,0,1
12/6/2020,2,9,0,2
12/7/2020,0,5,0,1
12/8/2020,0,0,0,0
12/9/2020,0,0,0,0
12/10/2020,0,0,0,0
12/11/2020,0,16,0,0
12/12/2020,5,31,3,2
12/13/2020,4,82,10,0
12/14/2020,0,21,2,0
12/15/2020,6,34,5,0
12/16/2020,2,58,5,1
12/17/2020,3,77,0,0
12/18/2020,5,33,10,0
12/19/2020,8,108,8,0
12/20/2020,8,127,5,0
12/21/2020,1,132,3,1
12/22/2020,1,112,1,0
12/23/2020,5,118,1,0
12/24/2020,9,141,14,1
12/25/2020,8,164,17,0
12/26/2020,5,198,4,0
12/27/2020,8,172,8,0
12/28/2020,3,142,3,1
12/29/2020,14,170,3,0
12/30/2020,13,214,9,0
12/31/2020,15,222,12,0
1/1/2021,7,200,12,0
1/2/2021,16,197,11,1
1/3/2021,15,125,11,1
1/4/2021,9,84,10,2
1/5/2021,1,54,2,0
1/6/2021,9,86,7,1
1/7/2021,3,108,2,1
1/8/2021,0,53,3,1
1/9/2021,2,123,6,1
1/10/2021,3,77,13,0
1/11/2021,1,30,2,0
1/12/2021,2,65,7,0
1/13/2021,1,89,0,0
1/14/2021,0,52,3,0
1/15/2021,5,82,5,1
1/16/2021,3,170,4,0
1/17/2021,7,118,11,1
1/18/2021,8,81,3,0
1/19/2021,1,60,2,0
1/20/2021,2,84,0,2
1/21/2021,7,38,0,0
1/22/2021,6,54,14,1
1/23/2021,3,53,3,0
1/24/2021,8,77,6,0
1/25/2021,6,29,7,0
1/26/2021,4,27,3,2
1/27/2021,3,102,9,1
1/28/2021,1,50,4,1
1/29/2021,2,116,14,0
1/30/2021,5,149,18,0
2/1/2021,1,46,7,1
2/2/2021,0,73,8,0
2/3/2021,3,56,2,0
2/4/2021,6,64,9,0
2/5/2021,0,101,6,0
2/6/2021,11,208,19,0
2/7/2021,8,130,15,0
2/8/2021,1,85,8,0
2/9/2021,4,37,1,0
2/10/2021,2,59,1,0
2/11/2021,5,77,9,3
2/12/2021,8,89,6,0
2/13/2021,6,142,16,0
2/14/2021,11,152,14,0
2/15/2021,3,62,5,0
2/16/2021,4,51,9,0
2/17/2021,8,118,8,0
2/18/2021,9,67,6,0
2/19/2021,6,131,10,0
2/20/2021,23,156,14,0
2/21/2021,10,100,20,0
2/22/2021,6,58,9,1
2/23/2021,1,100,10,0
2/24/2021,2,74,15,0
2/25/2021,3,133,18,0
2/26/2021,0,91,6,0
2/27/2021,4,103,12,0
2/28/2021,8,128,16,0
3/1/2021,2,59,3,0
3/2/2021,4,55,8,2
3/3/2021,2,77,11,0
3/4/2021,4,43,3,0
3/5/2021,5,73,14,0
3/6/2021,7,169,20,3
3/7/2021,6,126,7,3
3/8/2021,2,57,6,0
3/9/2021,6,87,4,0
3/10/2021,3,121,3,0
3/11/2021,5,88,2,0
3/12/2021,1,123,4,1
3/13/2021,7,126,8,0
3/14/2021,3,195,2,0
3/15/2021,4,193,6,0
3/16/2021,2,190,9,1
3/17/2021,0,194,8,0
3/18/2021,2,231,9,0
3/19/2021,1,193,6,0
3/20/2021,4,135,12,0
3/21/2021,0,46,12,0
3/22/2021,1,28,3,0
3/23/2021,NA,NA,NA,NA
3/24/2021,NA,NA,NA,NA
3/25/2021,NA,NA,NA,NA
3/26/2021,NA,NA,NA,NA
3/27/2021,NA,NA,NA,NA
3/28/2021,NA,NA,NA,NA
3/29/2021,NA,NA,NA,NA
3/30/2021,NA,NA,NA,NA
3/31/2021,NA,NA,NA,NA
4/1/2021,NA,NA,NA,NA
4/2/2021,NA,NA,NA,NA
4/3/2021,NA,NA,NA,NA
4/4/2021,NA,NA,NA,NA
4/5/2021,NA,NA,NA,NA
4/6/2021,NA,NA,NA,NA
4/7/2021,NA,NA,NA,NA
4/8/2021,NA,NA,NA,NA
4/9/2021,NA,NA,NA,NA
4/10/2021,NA,NA,NA,NA
4/11/2021,NA,NA,NA,NA
4/12/2021,3,5,4,1
4/13/2021,5,2,0,1
4/14/2021,3,1,0,2
4/15/2021,1,0,0,0
