Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
2017-12-22,Brush Creek Trailhead,14,0,1,False
2017-12-23,Brush Creek Trailhead,11,0,0,False
2017-12-24,Brush Creek Trailhead,28,0,0,False
2017-12-25,Brush Creek Trailhead,14,0,0,False
2017-12-26,Brush Creek Trailhead,27,0,0,False
2017-12-27,Brush Creek Trailhead,24,0,0,False
2017-12-28,Brush Creek Trailhead,37,0,0,False
2017-12-29,Brush Creek Trailhead,27,0,0,False
2017-12-30,Brush Creek Trailhead,44,0,0,False
2017-12-31,Brush Creek Trailhead,33,0,1,False
2018-01-01,Brush Creek Trailhead,44,0,1,False
2018-01-02,Brush Creek Trailhead,13,0,1,False
2018-01-03,Brush Creek Trailhead,24,0,0,False
2018-01-04,Brush Creek Trailhead,15,0,0,False
2018-01-05,Brush Creek Trailhead,14,0,0,False
2018-01-06,Brush Creek Trailhead,16,0,0,False
2018-01-07,Brush Creek Trailhead,24,0,0,False
2018-01-08,Brush Creek Trailhead,9,0,0,False
2018-01-09,Brush Creek Trailhead,14,0,0,False
2018-01-10,Brush Creek Trailhead,1,0,0,False
2018-01-11,Brush Creek Trailhead,9,0,0,False
2018-01-12,Brush Creek Trailhead,1,0,0,False
2018-01-13,Brush Creek Trailhead,8,0,0,False
2018-01-14,Brush Creek Trailhead,19,0,0,False
2018-01-15,Brush Creek Trailhead,23,0,0,False
2018-01-16,Brush Creek Trailhead,6,0,0,False
2018-01-17,Brush Creek Trailhead,6,0,0,False
2018-01-18,Brush Creek Trailhead,4,0,0,False
2018-01-19,Brush Creek Trailhead,7,0,1,False
2018-01-20,Brush Creek Trailhead,16,0,1,False
2018-01-21,Brush Creek Trailhead,12,0,0,False
2018-01-22,Brush Creek Trailhead,10,0,0,False
2018-01-23,Brush Creek Trailhead,8,0,0,False
2018-01-24,Brush Creek Trailhead,16,0,0,False
2018-01-25,Brush Creek Trailhead,19,0,0,False
2018-01-26,Brush Creek Trailhead,11,0,3,False
2018-01-27,Brush Creek Trailhead,21,0,0,False
2018-01-28,Brush Creek Trailhead,18,0,0,False
2018-01-29,Brush Creek Trailhead,22,0,0,False
2018-01-30,Brush Creek Trailhead,17,0,0,False
2018-01-31,Brush Creek Trailhead,25,0,0,False
2018-02-01,Brush Creek Trailhead,11,0,0,False
2018-02-02,Brush Creek Trailhead,18,0,0,False
2018-02-03,Brush Creek Trailhead,19,0,0,False
2018-02-04,Brush Creek Trailhead,18,0,1,False
2018-02-05,Brush Creek Trailhead,0,0,0,False
2018-02-06,Brush Creek Trailhead,11,0,0,False
2018-02-07,Brush Creek Trailhead,19,0,0,False
2018-02-08,Brush Creek Trailhead,16,0,0,False
2018-02-09,Brush Creek Trailhead,19,0,3,False
2018-02-10,Brush Creek Trailhead,4,0,0,False
2018-02-11,Brush Creek Trailhead,14,0,0,False
2018-02-12,Brush Creek Trailhead,8,0,0,False
2018-02-13,Brush Creek Trailhead,4,0,0,False
2018-02-14,Brush Creek Trailhead,1,0,0,False
2018-02-15,Brush Creek Trailhead,9,0,0,False
2018-02-16,Brush Creek Trailhead,7,0,0,False
2018-02-17,Brush Creek Trailhead,32,2,2,False
2018-02-18,Brush Creek Trailhead,38,0,0,False
2018-02-19,Brush Creek Trailhead,6,0,0,False
2018-02-20,Brush Creek Trailhead,9,0,0,False
2018-02-21,Brush Creek Trailhead,4,0,0,False
2018-02-22,Brush Creek Trailhead,18,0,0,False
2018-02-23,Brush Creek Trailhead,19,0,0,False
2018-02-24,Brush Creek Trailhead,8,0,0,False
2018-02-25,Brush Creek Trailhead,25,0,0,False
2018-02-26,Brush Creek Trailhead,13,0,1,False
2018-02-27,Brush Creek Trailhead,8,0,1,False
2018-02-28,Brush Creek Trailhead,13,0,0,False
2018-03-01,Brush Creek Trailhead,7,0,1,False
2018-03-02,Brush Creek Trailhead,14,0,0,False
2018-03-03,Brush Creek Trailhead,36,0,0,False
2018-03-04,Brush Creek Trailhead,34,0,0,False
2018-03-05,Brush Creek Trailhead,6,0,0,False
2018-03-06,Brush Creek Trailhead,17,0,0,False
2018-03-07,Brush Creek Trailhead,17,0,0,False
2018-03-08,Brush Creek Trailhead,7,0,0,False
2018-03-09,Brush Creek Trailhead,19,0,0,False
2018-03-10,Brush Creek Trailhead,12,0,0,False
2018-03-11,Brush Creek Trailhead,19,0,0,False
2018-03-12,Brush Creek Trailhead,16,0,0,False
2018-03-13,Brush Creek Trailhead,7,0,0,False
2018-03-14,Brush Creek Trailhead,8,0,0,False
2018-03-15,Brush Creek Trailhead,10,0,0,False
2018-03-16,Brush Creek Trailhead,10,0,0,False
2018-03-17,Brush Creek Trailhead,17,0,0,False
2018-03-18,Brush Creek Trailhead,17,0,0,False
2018-03-19,Brush Creek Trailhead,8,0,0,False
2018-03-20,Brush Creek Trailhead,,,,False
2018-03-21,Brush Creek Trailhead,,,,False
2018-03-22,Brush Creek Trailhead,,,,False
2018-03-23,Brush Creek Trailhead,1,0,0,False
2018-03-24,Brush Creek Trailhead,4,0,0,False
,,,,,
