Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
2018-02-06,Brush Creek Rd,5,0,0,0
2018-02-07,Brush Creek Rd,6,0,0,0
2018-02-08,Brush Creek Rd,6,0,0,0
2018-02-09,Brush Creek Rd,9,1,0,0
2018-02-10,Brush Creek Rd,5,0,0,0
2018-02-11,Brush Creek Rd,11,0,0,0
2018-02-12,Brush Creek Rd,1,0,0,0
2018-02-13,Brush Creek Rd,0,0,0,0
2018-02-14,Brush Creek Rd,3,1,0,0
2018-02-15,Brush Creek Rd,5,0,0,0
2018-02-16,Brush Creek Rd,6,0,0,0
2018-02-17,Brush Creek Rd,24,1,3,1
2018-02-18,Brush Creek Rd,21,0,5,0
2018-02-19,Brush Creek Rd,1,0,0,0
2018-02-20,Brush Creek Rd,0,0,0,0
2018-02-21,Brush Creek Rd,9,0,0,0
2018-02-22,Brush Creek Rd,2,0,0,0
2018-02-23,Brush Creek Rd,12,0,0,0
2018-02-24,Brush Creek Rd,18,0,2,0
2018-02-25,Brush Creek Rd,8,4,1,0
2018-02-26,Brush Creek Rd,2,0,3,0
2018-02-27,Brush Creek Rd,,,,
2018-02-28,Brush Creek Rd,,,,
2018-03-01,Brush Creek Rd,,,,
2018-03-02,Brush Creek Rd,,,,
2018-03-03,Brush Creek Rd,,,,
2018-03-04,Brush Creek Rd,,,,
2018-03-05,Brush Creek Rd,,,,
2018-03-06,Brush Creek Rd,0,1,0,0
2018-03-07,Brush Creek Rd,6,2,0,0
2018-03-08,Brush Creek Rd,4,0,0,0
2018-03-09,Brush Creek Rd,,,,
2018-03-10,Brush Creek Rd,,,,
2018-03-11,Brush Creek Rd,,,,
2018-03-12,Brush Creek Rd,,,,
2018-03-13,Brush Creek Rd,,,,
2018-03-14,Brush Creek Rd,,,,
2018-03-15,Brush Creek Rd,,,,
2018-03-16,Brush Creek Rd,,,,
2018-03-17,Brush Creek Rd,,,,
2018-03-18,Brush Creek Rd,,,,
2018-03-19,Brush Creek Rd,,,,
2018-03-20,Brush Creek Rd,9,0,0,0
2018-03-21,Brush Creek Rd,274,8,2,0
2018-03-22,Brush Creek Rd,10,1,1,0
2018-03-23,Brush Creek Rd,6,0,0,0
2018-03-24,Brush Creek Rd,3,2,0,1
2018-03-25,Brush Creek Rd,2,0,0,0
2018-03-26,Brush Creek Rd,2,4,0,2
2018-03-27,Brush Creek Rd,2,0,0,0
2018-03-28,Brush Creek Rd,7,0,0,0
2018-03-29,Brush Creek Rd,6,0,3,0
2018-03-30,Brush Creek Rd,0,1,0,0
2018-03-31,Brush Creek Rd,0,0,0,0
2018-04-01,Brush Creek Rd,3,0,0,0
2018-04-02,Brush Creek Rd,0,0,0,0
2018-04-03,Brush Creek Rd,0,0,0,0
2018-04-04,Brush Creek Rd,0,0,0,0
2018-04-05,Brush Creek Rd,0,0,0,0
,,,,,
,,,,,
,,,,,
