Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2018-02-15,Cement Creek,2,0,0,0
2018-02-16,Cement Creek,1,0,0,0
2018-02-17,Cement Creek,26,0,0,0
2018-02-18,Cement Creek,19,0,0,0
2018-02-19,Cement Creek,1,0,0,0
2018-02-20,Cement Creek,0,0,0,0
2018-02-21,Cement Creek,1,1,0,0
2018-02-22,Cement Creek,0,0,0,0
2018-02-23,Cement Creek,0,0,0,0
2018-02-24,Cement Creek,1,0,0,0
2018-02-25,Cement Creek,3,0,0,0
2018-02-26,Cement Creek,3,0,0,0
2018-02-27,Cement Creek,16,9,2,0
2018-02-28,Cement Creek,12,5,1,0
2018-03-01,Cement Creek,10,7,5,0
2018-03-02,Cement Creek,19,12,2,0
2018-03-03,Cement Creek,49,5,3,0
2018-03-04,Cement Creek,39,5,2,0
2018-03-05,Cement Creek,17,9,0,0
2018-03-06,Cement Creek,12,6,1,0
2018-03-07,Cement Creek,22,7,3,2
2018-03-08,Cement Creek,13,2,1,0
2018-03-09,Cement Creek,5,7,2,0
2018-03-10,Cement Creek,11,5,2,0
2018-03-11,Cement Creek,30,6,0,2
2018-03-12,Cement Creek,15,4,0,2
2018-03-13,Cement Creek,4,10,0,3
2018-03-14,Cement Creek,13,3,2,0
2018-03-15,Cement Creek,11,0,0,0
2018-03-16,Cement Creek,21,6,0,0
2018-03-17,Cement Creek,40,8,1,0
2018-03-18,Cement Creek,13,8,1,0
2018-03-19,Cement Creek,9,7,1,0
2018-03-20,Cement Creek,13,10,2,0
2018-03-21,Cement Creek,8,6,0,1
2018-03-22,Cement Creek,21,3,0,0
2018-03-23,Cement Creek,2,4,0,0
2018-03-24,Cement Creek,6,5,0,0
2018-03-25,Cement Creek,20,6,0,2
2018-03-26,Cement Creek,10,2,1,0
2018-03-27,Cement Creek,2,4,0,0
2018-03-28,Cement Creek,10,1,0,0
2018-03-29,Cement Creek,10,4,0,0
2018-03-30,Cement Creek,11,8,0,0
