Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
2017-12-22,Gothic Rd,0,0,0,0
2017-12-23,Gothic Rd,0,0,0,0
2017-12-24,Gothic Rd,0,0,0,0
2017-12-25,Gothic Rd,42,2,0,0
2017-12-26,Gothic Rd,55,4,0,0
2017-12-27,Gothic Rd,6,0,1,0
2017-12-28,Gothic Rd,77,1,16,0
2017-12-29,Gothic Rd,117,0,9,0
2017-12-30,Gothic Rd,147,2,10,0
2017-12-31,Gothic Rd,106,4,6,0
2018-01-01,Gothic Rd,93,0,2,0
2018-01-02,Gothic Rd,,,,
2018-01-03,Gothic Rd,,,,
2018-01-04,Gothic Rd,,,,
2018-01-05,Gothic Rd,,,,
2018-01-06,Gothic Rd,,,,
2018-01-07,Gothic Rd,16,0,0,0
2018-01-08,Gothic Rd,24,0,1,0
2018-01-09,Gothic Rd,26,1,0,0
2018-01-10,Gothic Rd,,,,
2018-01-11,Gothic Rd,,,,
2018-01-12,Gothic Rd,,,,
2018-01-13,Gothic Rd,,,,
2018-01-14,Gothic Rd,,,,
2018-01-15,Gothic Rd,,,,
2018-01-16,Gothic Rd,,,,
2018-01-17,Gothic Rd,,,,
2018-01-18,Gothic Rd,,,,
2018-01-19,Gothic Rd,,,,
2018-01-20,Gothic Rd,,,,
2018-01-21,Gothic Rd,,,,
2018-01-22,Gothic Rd,,,,
2018-01-23,Gothic Rd,,,,
2018-01-24,Gothic Rd,,,,
2018-01-25,Gothic Rd,,,,
2018-01-26,Gothic Rd,,,,
2018-01-27,Gothic Rd,,,,
2018-01-28,Gothic Rd,,,,
2018-01-29,Gothic Rd,,,,
2018-01-30,Gothic Rd,,,,
2018-01-31,Gothic Rd,7,1,0,0
2018-02-01,Gothic Rd,25,0,2,0
2018-02-02,Gothic Rd,55,0,7,0
2018-02-03,Gothic Rd,106,7,3,0
2018-02-04,Gothic Rd,89,3,7,2
2018-02-05,Gothic Rd,29,0,1,0
2018-02-06,Gothic Rd,15,0,0,0
2018-02-07,Gothic Rd,51,1,8,0
2018-02-08,Gothic Rd,60,0,7,0
2018-02-09,Gothic Rd,72,0,8,0
2018-02-10,Gothic Rd,42,0,7,0
2018-02-11,Gothic Rd,39,0,1,0
2018-02-12,Gothic Rd,25,0,0,0
2018-02-13,Gothic Rd,20,0,2,0
2018-02-14,Gothic Rd,32,0,4,0
2018-02-15,Gothic Rd,10,0,0,0
2018-02-16,Gothic Rd,23,1,0,0
2018-02-17,Gothic Rd,107,1,8,0
2018-02-18,Gothic Rd,122,4,9,0
2018-02-19,Gothic Rd,36,0,0,0
2018-02-20,Gothic Rd,21,1,0,0
2018-02-21,Gothic Rd,27,0,1,0
2018-02-22,Gothic Rd,17,0,0,0
2018-02-23,Gothic Rd,25,0,1,0
2018-02-24,Gothic Rd,46,0,3,0
2018-02-25,Gothic Rd,30,0,9,0
2018-02-26,Gothic Rd,25,0,5,0
2018-02-27,Gothic Rd,38,1,2,0
2018-02-28,Gothic Rd,33,0,2,0
2018-03-01,Gothic Rd,28,1,1,0
2018-03-02,Gothic Rd,62,2,4,0
2018-03-03,Gothic Rd,68,1,5,0
2018-03-04,Gothic Rd,,,,
2018-03-05,Gothic Rd,,,,
2018-03-06,Gothic Rd,,,,
2018-03-07,Gothic Rd,,,,
2018-03-08,Gothic Rd,,,,
2018-03-09,Gothic Rd,10,0,0,0
2018-03-10,Gothic Rd,80,3,4,0
2018-03-11,Gothic Rd,77,1,7,0
2018-03-12,Gothic Rd,28,2,3,2
2018-03-13,Gothic Rd,50,1,6,0
2018-03-14,Gothic Rd,31,0,3,0
2018-03-15,Gothic Rd,14,0,2,0
2018-03-16,Gothic Rd,37,0,3,0
2018-03-17,Gothic Rd,54,0,5,0
2018-03-18,Gothic Rd,27,0,4,0
2018-03-19,Gothic Rd,51,1,0,0
2018-03-20,Gothic Rd,19,0,0,0
2018-03-21,Gothic Rd,29,0,2,0
2018-03-22,Gothic Rd,30,0,0,0
2018-03-23,Gothic Rd,18,0,0,0
2018-03-24,Gothic Rd,25,1,7,0
2018-03-25,Gothic Rd,65,0,3,0
2018-03-26,Gothic Rd,52,0,4,0
2018-03-27,Gothic Rd,34,0,3,0
2018-03-28,Gothic Rd,25,0,0,0
2018-03-29,Gothic Rd,36,0,3,0
2018-03-30,Gothic Rd,61,2,3,0
2018-03-31,Gothic Rd,58,0,1,0
2018-04-01,Gothic Rd,27,0,0,0
2018-04-02,Gothic Rd,21,0,0,0
2018-04-03,Gothic Rd,11,0,0,0
2018-04-04,Gothic Rd,16,0,0,0
2018-04-05,Gothic Rd,17,1,0,0
2018-04-06,Gothic Rd,4,0,0,0
2018-04-07,Gothic Rd,18,0,0,0
2018-04-08,Gothic Rd,6,0,0,0
2018-04-09,Gothic Rd,7,0,0,0
2018-04-10,Gothic Rd,12,0,0,0
2018-04-11,Gothic Rd,11,0,0,0
2018-04-12,Gothic Rd,6,0,0,0
2018-04-13,Gothic Rd,6,0,1,0
2018-04-14,Gothic Rd,9,0,0,0
2018-04-15,Gothic Rd,11,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
