Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
2018-02-09,Kebler,1,27,3,0
2018-02-10,Kebler,3,20,1,4
2018-02-11,Kebler,10,125,4,21
2018-02-12,Kebler,0,30,2,9
2018-02-13,Kebler,16,36,3,2
2018-02-14,Kebler,9,76,4,0
2018-02-15,Kebler,10,40,3,0
2018-02-16,Kebler,12,111,3,6
2018-02-17,Kebler,39,176,8,2
2018-02-18,Kebler,19,151,5,17
2018-02-19,Kebler,0,49,0,2
2018-02-20,Kebler,8,34,1,1
2018-02-21,Kebler,18,63,0,3
2018-02-22,Kebler,1,43,6,0
2018-02-23,Kebler,16,60,6,2
2018-02-24,Kebler,7,82,4,5
2018-02-25,Kebler,9,57,0,7
2018-02-26,Kebler,23,102,1,5
2018-02-27,Kebler,3,75,1,2
2018-02-28,Kebler,6,75,6,2
2018-03-01,Kebler,1,27,2,0
2018-03-02,Kebler,0,62,0,5
2018-03-03,Kebler,12,102,0,23
2018-03-04,Kebler,0,48,8,9
2018-03-05,Kebler,5,57,3,3
2018-03-06,Kebler,0,67,1,6
2018-03-07,Kebler,6,42,1,4
2018-03-08,Kebler,0,71,6,8
2018-03-09,Kebler,6,102,3,0
2018-03-10,Kebler,8,133,5,11
2018-03-11,Kebler,16,164,6,14
2018-03-12,Kebler,2,99,0,0
2018-03-13,Kebler,7,161,4,3
2018-03-14,Kebler,10,135,2,6
2018-03-15,Kebler,3,156,1,3
2018-03-16,Kebler,10,94,5,12
2018-03-17,Kebler,3,127,4,17
2018-03-18,Kebler,4,86,6,14
2018-03-19,Kebler,2,60,1,7
2018-03-20,Kebler,3,85,2,7
2018-03-21,Kebler,0,82,4,7
2018-03-22,Kebler,3,64,3,4
2018-03-23,Kebler,1,30,0,1
2018-03-24,Kebler,5,66,8,4
2018-03-25,Kebler,5,78,12,11
2018-03-26,Kebler,12,76,0,9
2018-03-27,Kebler,4,49,6,8
2018-03-28,Kebler,2,57,1,4
2018-03-29,Kebler,1,69,4,10
2018-03-30,Kebler,12,81,2,14
2018-03-31,Kebler,4,77,1,14
2018-04-01,Kebler,4,32,5,4
2018-04-02,Kebler,2,47,0,7
2018-04-03,Kebler,0,51,3,4
2018-04-04,Kebler,6,65,0,5
2018-04-05,Kebler,3,55,3,4
2018-04-06,Kebler,0,80,6,3
2018-04-07,Kebler,0,47,3,8
2018-04-08,Kebler,0,37,4,0
2018-04-09,Kebler,0,8,3,3
,,,,,
