Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
2017-12-22,Slate River Rd,14,0,1,0
2017-12-23,Slate River Rd,5,4,2,0
2017-12-24,Slate River Rd,7,5,2,2
2017-12-25,Slate River Rd,18,5,3,3
2017-12-26,Slate River Rd,30,6,4,5
2017-12-27,Slate River Rd,71,92,0,88
2017-12-28,Slate River Rd,66,4,4,1
2017-12-29,Slate River Rd,50,3,0,2
2017-12-30,Slate River Rd,65,13,8,9
2017-12-31,Slate River Rd,78,20,2,4
2018-01-01,Slate River Rd,63,26,7,14
2018-01-02,Slate River Rd,29,17,3,11
2018-01-03,Slate River Rd,26,14,4,4
2018-01-04,Slate River Rd,19,17,5,4
2018-01-05,Slate River Rd,25,18,3,2
2018-01-06,Slate River Rd,20,24,6,6
2018-01-07,Slate River Rd,,,,
2018-01-08,Slate River Rd,,,,
2018-01-09,Slate River Rd,,,,
2018-01-10,Slate River Rd,,,,
2018-01-11,Slate River Rd,3,2,0,1
2018-01-12,Slate River Rd,3,4,0,3
2018-01-13,Slate River Rd,34,18,2,15
2018-01-14,Slate River Rd,39,18,0,13
2018-01-15,Slate River Rd,12,8,0,7
2018-01-16,Slate River Rd,11,10,0,9
2018-01-17,Slate River Rd,10,0,0,0
2018-01-18,Slate River Rd,13,2,0,2
2018-01-19,Slate River Rd,30,2,0,2
2018-01-20,Slate River Rd,34,17,0,17
2018-01-21,Slate River Rd,5,0,0,0
2018-01-22,Slate River Rd,19,6,0,6
2018-01-23,Slate River Rd,9,7,0,7
2018-01-24,Slate River Rd,12,0,0,0
2018-01-25,Slate River Rd,21,9,0,9
2018-01-26,Slate River Rd,4,1,0,1
2018-01-27,Slate River Rd,34,19,1,17
2018-01-28,Slate River Rd,41,17,2,17
2018-01-29,Slate River Rd,21,8,0,7
2018-01-30,Slate River Rd,19,7,0,7
2018-01-31,Slate River Rd,13,2,0,2
2018-02-01,Slate River Rd,16,7,0,6
2018-02-02,Slate River Rd,11,8,2,8
2018-02-03,Slate River Rd,42,7,2,3
2018-02-04,Slate River Rd,54,10,4,9
2018-02-05,Slate River Rd,37,5,0,4
2018-02-06,Slate River Rd,16,7,0,6
2018-02-07,Slate River Rd,18,11,0,10
2018-02-08,Slate River Rd,23,4,0,3
2018-02-09,Slate River Rd,16,4,0,4
2018-02-10,Slate River Rd,3,0,0,0
2018-02-11,Slate River Rd,20,4,1,3
2018-02-12,Slate River Rd,11,4,0,4
2018-02-13,Slate River Rd,7,6,2,6
2018-02-14,Slate River Rd,14,4,0,4
2018-02-15,Slate River Rd,7,10,0,10
2018-02-16,Slate River Rd,14,8,1,6
2018-02-17,Slate River Rd,65,10,4,9
2018-02-18,Slate River Rd,51,6,6,6
2018-02-19,Slate River Rd,6,17,0,16
2018-02-20,Slate River Rd,0,1,0,1
2018-02-21,Slate River Rd,19,2,0,2
2018-02-22,Slate River Rd,14,3,0,3
2018-02-23,Slate River Rd,10,8,1,7
2018-02-24,Slate River Rd,8,2,1,0
2018-02-25,Slate River Rd,4,5,1,5
2018-02-26,Slate River Rd,20,0,0,0
2018-02-27,Slate River Rd,19,1,0,0
2018-02-28,Slate River Rd,7,1,0,0
2018-03-01,Slate River Rd,15,12,15,8
2018-03-02,Slate River Rd,11,5,0,5
2018-03-03,Slate River Rd,44,11,1,11
2018-03-04,Slate River Rd,35,13,1,13
2018-03-05,Slate River Rd,14,2,3,0
2018-03-06,Slate River Rd,9,6,0,4
2018-03-07,Slate River Rd,16,9,0,9
2018-03-08,Slate River Rd,17,10,0,8
2018-03-09,Slate River Rd,41,10,0,10
2018-03-10,Slate River Rd,37,6,0,5
2018-03-11,Slate River Rd,54,4,0,4
2018-03-12,Slate River Rd,26,4,0,2
2018-03-13,Slate River Rd,49,3,1,2
2018-03-14,Slate River Rd,27,7,0,2
2018-03-15,Slate River Rd,12,2,0,2
2018-03-16,Slate River Rd,20,10,0,10
2018-03-17,Slate River Rd,22,11,0,11
2018-03-18,Slate River Rd,11,14,1,10
2018-03-19,Slate River Rd,15,14,0,14
2018-03-20,Slate River Rd,40,10,0,10
2018-03-21,Slate River Rd,16,7,1,6
2018-03-22,Slate River Rd,43,11,0,10
2018-03-23,Slate River Rd,9,2,0,2
2018-03-24,Slate River Rd,43,3,1,3
2018-03-25,Slate River Rd,44,12,0,9
2018-03-26,Slate River Rd,29,1,0,1
2018-03-27,Slate River Rd,30,3,0,1
2018-03-28,Slate River Rd,21,5,0,5
2018-03-29,Slate River Rd,33,5,0,5
2018-03-30,Slate River Rd,22,7,0,7
2018-03-31,Slate River Rd,34,4,0,4
2018-04-01,Slate River Rd,12,7,0,7
2018-04-02,Slate River Rd,9,3,0,2
2018-04-03,Slate River Rd,7,7,0,5
2018-04-04,Slate River Rd,6,3,1,2
2018-04-05,Slate River Rd,11,2,0,2
2018-04-06,Slate River Rd,7,5,0,5
2018-04-07,Slate River Rd,10,2,0,2
2018-04-08,Slate River Rd,7,1,0,1
2018-04-09,Slate River Rd,7,0,0,0
2018-04-10,Slate River Rd,10,5,0,3
2018-04-11,Slate River Rd,11,3,0,2
2018-04-12,Slate River Rd,1,0,0,0
2018-04-13,Slate River Rd,9,8,0,0
2018-04-14,Slate River Rd,20,9,0,5
2018-04-15,Slate River Rd,10,7,2,2
2018-04-16,Slate River Rd,5,3,0,2
