Date,Trailhead,Non-Motorized,Motorized,Mechanized,Hybrid
2017-12-22,Washington Gulch,0,1,0,0
2017-12-23,Washington Gulch,0,0,0,0
2017-12-24,Washington Gulch,17,7,2,4
2017-12-25,Washington Gulch,14,1,2,0
2017-12-26,Washington Gulch,24,3,0,3
2017-12-27,Washington Gulch,60,2,0,2
2017-12-28,Washington Gulch,74,4,2,1
2017-12-29,Washington Gulch,33,13,0,8
2017-12-30,Washington Gulch,111,2,1,0
2017-12-31,Washington Gulch,109,6,0,2
2018-01-01,Washington Gulch,73,16,2,4
2018-01-02,Washington Gulch,35,1,0,0
2018-01-03,Washington Gulch,,,,
2018-01-04,Washington Gulch,,,,
2018-01-05,Washington Gulch,,,,
2018-01-06,Washington Gulch,0,0,1,0
2018-01-07,Washington Gulch,36,8,0,2
2018-01-08,Washington Gulch,18,4,0,4
2018-01-09,Washington Gulch,18,3,0,1
2018-01-10,Washington Gulch,20,0,0,0
2018-01-11,Washington Gulch,9,7,0,7
2018-01-12,Washington Gulch,13,0,0,0
2018-01-13,Washington Gulch,55,4,1,3
2018-01-14,Washington Gulch,61,11,0,10
2018-01-15,Washington Gulch,39,4,0,4
2018-01-16,Washington Gulch,19,5,3,4
2018-01-17,Washington Gulch,15,8,0,5
2018-01-18,Washington Gulch,22,0,0,0
2018-01-19,Washington Gulch,39,5,0,5
2018-01-20,Washington Gulch,44,4,2,2
2018-01-21,Washington Gulch,0,0,0,0
2018-01-22,Washington Gulch,28,6,0,2
2018-01-23,Washington Gulch,28,6,1,6
2018-01-24,Washington Gulch,21,10,0,9
2018-01-25,Washington Gulch,25,13,1,8
2018-01-26,Washington Gulch,14,3,2,1
2018-01-27,Washington Gulch,53,9,1,9
2018-01-28,Washington Gulch,101,18,1,12
2018-01-29,Washington Gulch,18,4,0,4
2018-01-30,Washington Gulch,22,6,1,2
2018-01-31,Washington Gulch,20,3,0,2
2018-02-01,Washington Gulch,21,5,0,2
2018-02-02,Washington Gulch,35,4,0,4
2018-02-03,Washington Gulch,53,3,0,3
2018-02-04,Washington Gulch,69,11,2,5
2018-02-05,Washington Gulch,10,2,0,0
2018-02-06,Washington Gulch,18,8,0,6
2018-02-07,Washington Gulch,43,6,0,4
2018-02-08,Washington Gulch,18,10,0,8
2018-02-09,Washington Gulch,27,4,2,3
2018-02-10,Washington Gulch,28,3,0,2
2018-02-11,Washington Gulch,43,12,2,9
2018-02-12,Washington Gulch,20,2,0,2
2018-02-13,Washington Gulch,9,1,0,0
2018-02-14,Washington Gulch,30,2,0,0
2018-02-15,Washington Gulch,13,3,0,3
2018-02-16,Washington Gulch,33,4,0,3
2018-02-17,Washington Gulch,84,18,1,9
2018-02-18,Washington Gulch,81,11,3,5
2018-02-19,Washington Gulch,21,2,0,0
2018-02-20,Washington Gulch,19,2,0,0
2018-02-21,Washington Gulch,16,4,0,2
2018-02-22,Washington Gulch,20,0,0,0
2018-02-23,Washington Gulch,21,5,0,1
2018-02-24,Washington Gulch,40,20,0,11
2018-02-25,Washington Gulch,35,11,0,6
2018-02-26,Washington Gulch,19,13,0,9
2018-02-27,Washington Gulch,30,10,1,5
2018-02-28,Washington Gulch,17,7,0,3
2018-03-01,Washington Gulch,25,7,3,4
2018-03-02,Washington Gulch,17,11,0,6
2018-03-03,Washington Gulch,103,19,2,5
2018-03-04,Washington Gulch,39,5,3,0
2018-03-05,Washington Gulch,10,5,0,0
2018-03-06,Washington Gulch,17,10,0,6
2018-03-07,Washington Gulch,22,2,0,2
2018-03-08,Washington Gulch,17,15,1,8
2018-03-09,Washington Gulch,26,3,3,2
2018-03-10,Washington Gulch,69,4,2,3
2018-03-11,Washington Gulch,35,15,3,10
2018-03-12,Washington Gulch,18,12,0,9
2018-03-13,Washington Gulch,20,7,2,6
2018-03-14,Washington Gulch,31,9,1,5
2018-03-15,Washington Gulch,20,13,3,7
2018-03-16,Washington Gulch,11,24,0,7
2018-03-17,Washington Gulch,57,24,2,8
2018-03-18,Washington Gulch,12,11,0,6
2018-03-19,Washington Gulch,17,5,0,1
2018-03-20,Washington Gulch,16,9,0,4
2018-03-21,Washington Gulch,31,2,0,2
2018-03-22,Washington Gulch,18,2,0,0
2018-03-23,Washington Gulch,1,0,0,0
2018-03-24,Washington Gulch,25,11,5,1
2018-03-25,Washington Gulch,36,9,1,6
2018-03-26,Washington Gulch,29,6,0,3
2018-03-27,Washington Gulch,20,10,0,2
2018-03-28,Washington Gulch,20,3,0,2
2018-03-29,Washington Gulch,20,3,0,2
2018-03-30,Washington Gulch,30,2,1,0
2018-03-31,Washington Gulch,50,10,0,5
2018-04-01,Washington Gulch,18,19,0,12
2018-04-02,Washington Gulch,10,0,0,0
2018-04-03,Washington Gulch,7,0,0,0
2018-04-04,Washington Gulch,18,0,0,0
2018-04-05,Washington Gulch,7,8,0,8
2018-04-06,Washington Gulch,8,0,0,0
2018-04-07,Washington Gulch,11,5,0,0
2018-04-08,Washington Gulch,7,5,1,0
2018-04-09,Washington Gulch,9,1,0,0
2018-04-10,Washington Gulch,11,5,1,5
2018-04-11,Washington Gulch,5,6,0,5
2018-04-12,Washington Gulch,8,5,0,3
2018-04-13,Washington Gulch,14,1,0,0
2018-04-14,Washington Gulch,11,3,3,1
2018-04-15,Washington Gulch,15,2,2,1
2018-04-16,Washington Gulch,3,1,0,0
,,,,,
,,,,,
,,,,,
,,,,,
