Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2018-12-01,Slate River,,,,
2018-12-02,Slate River,,,,
2018-12-03,Slate River,,,,
2018-12-04,Slate River,,,,
2018-12-05,Slate River,14,10,0,10
2018-12-06,Slate River,5,6,0,6
2018-12-07,Slate River,11,13,0,13
2018-12-08,Slate River,24,23,0,22
2018-12-09,Slate River,39,10,0,10
2018-12-10,Slate River,10,10,0,10
2018-12-11,Slate River,8,7,0,7
2018-12-12,Slate River,6,4,0,4
2018-12-13,Slate River,0,0,0,0
2018-12-14,Slate River,12,6,0,6
2018-12-15,Slate River,42,14,0,8
2018-12-16,Slate River,29,21,0,21
2018-12-17,Slate River,14,2,0,2
2018-12-18,Slate River,21,7,0,7
2018-12-19,Slate River,10,3,0,3
2018-12-20,Slate River,24,7,0,7
2018-12-21,Slate River,9,6,0,6
2018-12-22,Slate River,29,8,0,8
2018-12-23,Slate River,39,16,0,16
2018-12-24,Slate River,37,11,1,11
2018-12-25,Slate River,61,15,0,15
2018-12-26,Slate River,35,16,0,11
2018-12-27,Slate River,19,7,1,5
2018-12-28,Slate River,60,10,0,8
2018-12-29,Slate River,50,51,2,10
2018-12-30,Slate River,54,26,1,20
2018-12-31,Slate River,36,6,0,6
2019-01-01,Slate River,29,23,2,23
2019-01-02,Slate River,25,4,0,4
2019-01-03,Slate River,45,2,1,1
2019-01-04,Slate River,18,8,1,8
2019-01-05,Slate River,49,16,4,16
2019-01-06,Slate River,23,10,0,8
2019-01-07,Slate River,5,7,0,7
2019-01-08,Slate River,17,3,0,3
2019-01-09,Slate River,25,7,0,7
2019-01-10,Slate River,20,10,0,10
2019-01-11,Slate River,17,13,0,12
2019-01-12,Slate River,14,14,0,14
2019-01-13,Slate River,23,6,0,6
2019-01-14,Slate River,22,9,0,8
2019-01-15,Slate River,18,4,0,4
2019-01-16,Slate River,3,0,0,0
2019-01-17,Slate River,8,4,0,3
2019-01-18,Slate River,10,1,0,1
2019-01-19,Slate River,0,0,0,0
2019-01-20,Slate River,0,0,0,0
2019-01-21,Slate River,1,2,0,0
2019-01-22,Slate River,28,4,0,0
2019-01-23,Slate River,9,5,0,0
2019-01-24,Slate River,21,0,0,0
2019-01-25,Slate River,28,5,0,0
2019-01-26,Slate River,45,13,0,13
2019-01-27,Slate River,16,5,3,5
2019-01-28,Slate River,2,1,0,1
2019-01-29,Slate River,0,0,0,0
2019-01-30,Slate River,0,0,0,0
2019-01-31,Slate River,0,0,0,0
2019-02-01,Slate River,12,0,0,0
2019-02-02,Slate River,45,15,0,11
2019-02-03,Slate River,11,5,0,5
2019-02-04,Slate River,15,3,0,3
2019-02-05,Slate River,15,4,0,4
2019-02-06,Slate River,3,3,0,3
2019-02-07,Slate River,0,0,0,0
2019-02-08,Slate River,20,4,0,4
2019-02-09,Slate River,38,13,0,10
2019-02-10,Slate River,35,19,0,17
2019-02-11,Slate River,13,1,1,1
2019-02-12,Slate River,18,3,0,0
2019-02-13,Slate River,21,8,0,0
2019-02-14,Slate River,16,3,0,0
2019-02-15,Slate River,6,0,0,0
2019-02-16,Slate River,0,0,0,0
2019-02-17,Slate River,0,0,0,0
2019-02-18,Slate River,0,0,0,0
2019-02-19,Slate River,0,0,0,0
2019-02-20,Slate River,0,0,0,0
2019-02-21,Slate River,0,0,0,0
2019-02-22,Slate River,3,5,0,5
2019-02-23,Slate River,38,9,3,9
2019-02-24,Slate River,22,7,0,7
2019-02-25,Slate River,12,0,0,0
2019-02-26,Slate River,30,8,0,7
2019-02-27,Slate River,20,4,0,4
2019-02-28,Slate River,20,2,0,2
2019-03-01,Slate River,13,1,0,0
2019-03-02,Slate River,11,5,0,4
2019-03-03,Slate River,5,0,0,0
2019-03-04,Slate River,9,0,0,0
2019-03-05,Slate River,4,0,0,0
2019-03-06,Slate River,5,0,0,0
2019-03-07,Slate River,5,0,0,0
2019-03-08,Slate River,3,0,0,0
2019-03-09,Slate River,12,0,0,0
2019-03-10,Slate River,18,0,0,0
2019-03-11,Slate River,6,0,0,0
2019-03-12,Slate River,27,3,0,0
2019-03-13,Slate River,0,0,0,0
2019-03-14,Slate River,5,0,0,0
2019-03-15,Slate River,7,1,0,0
2019-03-16,Slate River,33,12,0,0
2019-03-17,Slate River,28,6,1,0
2019-03-18,Slate River,17,4,0,0
2019-03-19,Slate River,13,0,0,0
2019-03-20,Slate River,27,1,0,0
2019-03-21,Slate River,16,0,0,0
2019-03-22,Slate River,16,1,0,1
2019-03-23,Slate River,43,6,0,6
2019-03-24,Slate River,20,7,0,7
2019-03-25,Slate River,28,9,0,7
2019-03-26,Slate River,38,8,0,0
2019-03-27,Slate River,17,0,0,0
2019-03-28,Slate River,13,6,0,0
2019-03-29,Slate River,34,8,0,0
2019-03-30,Slate River,42,18,0,17
2019-03-31,Slate River,25,4,2,4
2019-04-01,Slate River,15,10,0,10
2019-04-02,Slate River,10,0,0,0
2019-04-03,Slate River,12,1,0,0
2019-04-04,Slate River,27,5,0,4
2019-04-05,Slate River,20,1,0,1
2019-04-06,Slate River,17,6,1,4
2019-04-07,Slate River,21,15,0,7
2019-04-08,Slate River,7,3,0,3
2019-04-09,Slate River,9,5,0,2
2019-04-10,Slate River,9,2,0,2
2019-04-11,Slate River,5,2,0,1
2019-04-12,Slate River,13,6,1,4
2019-04-13,Slate River,17,9,0,8
2019-04-14,Slate River,9,5,0,5
2019-04-15,Slate River,4,4,0,4
