Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2019-12-06,Brush Creek Rd,10,0,0,0
2019-12-07,Brush Creek Rd,16,0,0,0
2019-12-08,Brush Creek Rd,4,0,0,0
2019-12-09,Brush Creek Rd,2,0,0,0
2020-12-10,Brush Creek Rd,5,0,0,0
2019-12-11,Brush Creek Rd,5,0,0,0
2019-12-12,Brush Creek Rd,4,0,0,0
2019-12-13,Brush Creek Rd,4,0,0,0
2019-12-14,Brush Creek Rd,6,0,0,0
2019-12-15,Brush Creek Rd,4,0,0,0
2019-12-16,Brush Creek Rd,4,0,0,0
2019-12-17,Brush Creek Rd,,,,
2019-12-18,Brush Creek Rd,2,0,0,0
2019-12-19,Brush Creek Rd,4,0,0,0
2019-12-20,Brush Creek Rd,5,0,0,0
2019-12-21,Brush Creek Rd,12,0,0,0
2019-12-22,Brush Creek Rd,13,0,1,0
2019-12-23,Brush Creek Rd,23,0,0,0
2019-12-24,Brush Creek Rd,13,0,0,0
2019-12-25,Brush Creek Rd,14,0,0,0
2019-12-26,Brush Creek Rd,15,0,0,0
2019-12-27,Brush Creek Rd,5,0,0,0
2019-12-28,Brush Creek Rd,13,0,0,0
2019-12-29,Brush Creek Rd,14,0,0,0
2019-12-30,Brush Creek Rd,11,0,1,0
2019-12-31,Brush Creek Rd,9,0,1,0
2020-01-01,Brush Creek Rd,16,0,1,0
2020-01-02,Brush Creek Rd,10,0,1,0
2020-01-03,Brush Creek Rd,19,0,1,0
2020-01-04,Brush Creek Rd,14,0,1,0
2020-01-05,Brush Creek Rd,20,0,1,0
2020-01-06,Brush Creek Rd,13,0,2,0
2020-01-07,Brush Creek Rd,10,0,2,0
2020-01-08,Brush Creek Rd,10,0,0,0
2020-01-09,Brush Creek Rd,5,0,0,0
2020-01-10,Brush Creek Rd,4,0,0,0
2020-01-11,Brush Creek Rd,7,0,0,0
2020-01-12,Brush Creek Rd,9,0,0,0
2020-01-13,Brush Creek Rd,,,,
2020-01-14,Brush Creek Rd,5,0,0,0
2020-01-15,Brush Creek Rd,6,0,0,0
2020-01-16,Brush Creek Rd,1,0,0,0
2020-01-17,Brush Creek Rd,4,0,0,0
2020-01-18,Brush Creek Rd,11,0,0,0
2020-01-19,Brush Creek Rd,21,0,0,0
2020-01-20,Brush Creek Rd,9,0,0,0
2020-01-21,Brush Creek Rd,2,0,0,0
2020-01-22,Brush Creek Rd,8,0,0,0
2020-01-23,Brush Creek Rd,5,0,1,0
2020-01-24,Brush Creek Rd,9,0,1,0
2020-01-25,Brush Creek Rd,17,0,1,0
2020-01-26,Brush Creek Rd,23,0,1,0
2020-01-27,Brush Creek Rd,4,0,1,0
2020-01-28,Brush Creek Rd,3,0,1,0
2020-01-29,Brush Creek Rd,5,0,1,0
2020-01-30,Brush Creek Rd,3,0,1,0
2020-01-31,Brush Creek Rd,2,0,1,0
2020-02-01,Brush Creek Rd,20,0,1,0
2020-02-02,Brush Creek Rd,15,0,1,0
2020-02-03,Brush Creek Rd,1,0,0,0
2020-02-04,Brush Creek Rd,5,0,0,0
2020-02-05,Brush Creek Rd,0,0,0,0
2020-02-06,Brush Creek Rd,2,0,0,0
2020-02-07,Brush Creek Rd,,,,
2020-02-08,Brush Creek Rd,7,0,0,0
2020-02-09,Brush Creek Rd,11,0,0,0
2020-02-10,Brush Creek Rd,,,,
2020-02-11,Brush Creek Rd,7,0,0,0
2020-02-12,Brush Creek Rd,9,0,0,0
2020-02-13,Brush Creek Rd,,,,
2020-02-14,Brush Creek Rd,10,0,0,0
2020-02-15,Brush Creek Rd,11,0,0,0
2020-02-16,Brush Creek Rd,9,0,0,0
2020-02-17,Brush Creek Rd,10,0,0,0
2020-02-18,Brush Creek Rd,9,0,0,0
2020-02-19,Brush Creek Rd,3,0,0,0
2020-02-20,Brush Creek Rd,6,0,0,0
2020-02-21,Brush Creek Rd,7,0,0,0
2020-02-22,Brush Creek Rd,15,0,0,0
2020-02-23,Brush Creek Rd,7,0,0,0
2020-02-24,Brush Creek Rd,1,0,0,0
2020-02-25,Brush Creek Rd,0,0,0,0
2020-02-26,Brush Creek Rd,1,0,0,0
2020-02-27,Brush Creek Rd,22,0,0,0
2020-02-28,Brush Creek Rd,6,0,0,0
2020-02-29,Brush Creek Rd,17,0,0,0
2020-03-01,Brush Creek Rd,13,0,0,0
2020-03-02,Brush Creek Rd,0,0,0,0
2020-03-03,Brush Creek Rd,0,0,0,0
2020-03-04,Brush Creek Rd,1,0,0,0
2020-03-05,Brush Creek Rd,0,0,0,0
2020-03-06,Brush Creek Rd,7,0,0,0
2020-03-07,Brush Creek Rd,11,0,0,0
2020-03-08,Brush Creek Rd,13,0,0,0
2020-03-09,Brush Creek Rd,3,0,0,0
2020-03-10,Brush Creek Rd,0,0,0,0
2020-03-11,Brush Creek Rd,9,0,0,0
2020-03-12,Brush Creek Rd,4,0,0,0
2020-03-13,Brush Creek Rd,10,0,0,0
2020-03-14,Brush Creek Rd,16,0,0,0
2020-03-15,Brush Creek Rd,27,0,0,0
2020-03-16,Brush Creek Rd,5,0,0,0
2020-03-17,Brush Creek Rd,11,0,0,0
2020-03-18,Brush Creek Rd,12,0,0,0
2020-03-19,Brush Creek Rd,5,0,0,0
2020-03-20,Brush Creek Rd,12,0,0,0
2020-03-21,Brush Creek Rd,12,0,0,0
2020-03-22,Brush Creek Rd,22,0,0,0
2020-03-23,Brush Creek Rd,10,2,0,0
2020-03-24,Brush Creek Rd,,,,
2020-03-25,Brush Creek Rd,,,,
2020-03-26,Brush Creek Rd,,,,
2020-03-27,Brush Creek Rd,,,,
2020-03-28,Brush Creek Rd,,,,
2020-03-29,Brush Creek Rd,,,,
2020-03-30,Brush Creek Rd,,,,
2020-03-31,Brush Creek Rd,,,,
2020-04-01,Brush Creek Rd,,,,
2020-04-02,Brush Creek Rd,,,,
2020-04-03,Brush Creek Rd,,,,
2020-04-04,Brush Creek Rd,,,,
2020-04-05,Brush Creek Rd,,,,
2020-04-06,Brush Creek Rd,3,0,0,0
2020-04-07,Brush Creek Rd,3,0,0,0
2020-04-08,Brush Creek Rd,7,0,0,0
2020-04-09,Brush Creek Rd,5,0,0,0
2020-04-10,Brush Creek Rd,2,0,0,0
2020-04-11,Brush Creek Rd,6,0,0,0
2020-04-12,Brush Creek Rd,10,0,0,0
2020-04-13,Brush Creek Rd,6,0,0,0
2020-04-14,Brush Creek Rd,4,0,0,0
2020-04-15,Brush Creek Rd,2,0,0,0
,Total users,954,2,23,0
,Total Days,132,132,132,132
,Days without data,18,18,18,18
,Days with data,114,114,114,114
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
