Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2019-12-06,Gothic Rd,14,2,2,0
2019-12-07,Gothic Rd,,,,
2019-12-08,Gothic Rd,12,2,0,0
2019-12-09,Gothic Rd,3,3,0,0
2020-12-10,Gothic Rd,7,2,0,0
2019-12-11,Gothic Rd,11,1,0,0
2019-12-12,Gothic Rd,15,0,0,0
2019-12-13,Gothic Rd,11,0,0,0
2019-12-14,Gothic Rd,7,0,2,0
2019-12-15,Gothic Rd,13,0,0,0
2019-12-16,Gothic Rd,7,1,0,0
2019-12-17,Gothic Rd,3,0,0,0
2019-12-18,Gothic Rd,10,2,1,0
2019-12-19,Gothic Rd,13,0,0,0
2019-12-20,Gothic Rd,20,0,0,0
2019-12-21,Gothic Rd,33,1,3,0
2019-12-22,Gothic Rd,25,0,2,0
2019-12-23,Gothic Rd,12,0,1,0
2019-12-24,Gothic Rd,27,0,3,0
2019-12-25,Gothic Rd,39,0,4,0
2019-12-26,Gothic Rd,36,0,4,0
2019-12-27,Gothic Rd,42,0,2,0
2019-12-28,Gothic Rd,55,0,1,0
2019-12-29,Gothic Rd,50,0,1,0
2019-12-30,Gothic Rd,55,0,2,0
2019-12-31,Gothic Rd,39,1,5,0
2020-01-01,Gothic Rd,49,1,1,0
2020-01-02,Gothic Rd,33,3,1,0
2020-01-03,Gothic Rd,36,0,5,0
2020-01-04,Gothic Rd,34,1,7,0
2020-01-05,Gothic Rd,18,0,3,0
2020-01-06,Gothic Rd,22,2,1,0
2020-01-07,Gothic Rd,16,0,4,0
2020-01-08,Gothic Rd,21,0,0,0
2020-01-09,Gothic Rd,19,1,0,0
2020-01-10,Gothic Rd,36,3,2,0
2020-01-11,Gothic Rd,22,1,1,0
2020-01-12,Gothic Rd,26,0,0,0
2020-01-13,Gothic Rd,4,0,0,0
2020-01-14,Gothic Rd,9,0,0,0
2020-01-15,Gothic Rd,21,2,1,0
2020-01-16,Gothic Rd,17,0,0,0
2020-01-17,Gothic Rd,5,0,0,0
2020-01-18,Gothic Rd,20,0,0,0
2020-01-19,Gothic Rd,21,1,1,0
2020-01-20,Gothic Rd,9,0,1,0
2020-01-21,Gothic Rd,4,0,0,0
2020-01-22,Gothic Rd,10,1,0,0
2020-01-23,Gothic Rd,5,2,1,0
2020-01-24,Gothic Rd,26,0,2,0
2020-01-25,Gothic Rd,23,0,1,0
2020-01-26,Gothic Rd,20,0,1,0
2020-01-27,Gothic Rd,14,2,0,0
2020-01-28,Gothic Rd,16,0,1,0
2020-01-29,Gothic Rd,4,0,0,0
2020-01-30,Gothic Rd,11,0,1,0
2020-01-31,Gothic Rd,27,0,2,0
2020-02-01,Gothic Rd,15,0,5,0
2020-02-02,Gothic Rd,27,0,4,0
2020-02-03,Gothic Rd,8,0,0,0
2020-02-04,Gothic Rd,21,1,3,0
2020-02-05,Gothic Rd,10,0,0,0
2020-02-06,Gothic Rd,9,1,0,0
2020-02-07,Gothic Rd,6,3,0,0
2020-02-08,Gothic Rd,20,3,2,0
