Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid
2019-12-06,Washington Gulch,2,1,0,0
2019-12-07,Washington Gulch,19,9,0,0
2019-12-08,Washington Gulch,34,4,0,0
2019-12-09,Washington Gulch,3,3,0,0
2020-12-10,Washington Gulch,5,0,0,0
2019-12-11,Washington Gulch,14,3,1,0
2019-12-12,Washington Gulch,,,,
2019-12-13,Washington Gulch,,,,
2019-12-14,Washington Gulch,,,,
2019-12-15,Washington Gulch,,,,
2019-12-16,Washington Gulch,,,,
2019-12-17,Washington Gulch,,,,
2019-12-18,Washington Gulch,,,,
2019-12-19,Washington Gulch,,,,
2019-12-20,Washington Gulch,,,,
2019-12-21,Washington Gulch,3,0,0,0
2019-12-22,Washington Gulch,,,,
2019-12-23,Washington Gulch,0,0,0,0
2019-12-24,Washington Gulch,,,,
2019-12-25,Washington Gulch,3,0,0,0
2019-12-26,Washington Gulch,10,0,0,0
2019-12-27,Washington Gulch,7,0,0,0
2019-12-28,Washington Gulch,,,,
2019-12-29,Washington Gulch,,,,
2019-12-30,Washington Gulch,4,1,0,0
2019-12-31,Washington Gulch,5,2,0,0
2020-01-01,Washington Gulch,,,,
2020-01-02,Washington Gulch,,,,
2020-01-03,Washington Gulch,,,,
2020-01-04,Washington Gulch,2,0,0,0
2020-01-05,Washington Gulch,2,0,0,0
2020-01-06,Washington Gulch,,,,
2020-01-07,Washington Gulch,1,0,0,0
2020-01-08,Washington Gulch,3,0,0,0
2020-01-09,Washington Gulch,,,,
2020-01-10,Washington Gulch,1,0,0,0
2020-01-11,Washington Gulch,1,0,0,0
2020-01-12,Washington Gulch,,,,
2020-01-13,Washington Gulch,,,,
2020-01-14,Washington Gulch,,,,
2020-01-15,Washington Gulch,,,,
2020-01-16,Washington Gulch,,,,
2020-01-17,Washington Gulch,,,,
2020-01-18,Washington Gulch,,,,
2020-01-19,Washington Gulch,,,,
2020-01-20,Washington Gulch,,,,
2020-01-21,Washington Gulch,,,,
2020-01-22,Washington Gulch,,,,
2020-01-23,Washington Gulch,,,,
2020-01-24,Washington Gulch,,,,
2020-01-25,Washington Gulch,,,,
2020-01-26,Washington Gulch,,,,
2020-01-27,Washington Gulch,,,,
2020-01-28,Washington Gulch,,,,
2020-01-29,Washington Gulch,,,,
2020-01-30,Washington Gulch,2,3,0,0
2020-01-31,Washington Gulch,25,2,0,0
2020-02-01,Washington Gulch,45,23,0,0
2020-02-02,Washington Gulch,73,5,1,0
2020-02-03,Washington Gulch,13,0,0,0
2020-02-04,Washington Gulch,13,2,0,0
2020-02-05,Washington Gulch,8,5,1,0
2020-02-06,Washington Gulch,4,2,0,0
2020-02-07,Washington Gulch,,,,
2020-02-08,Washington Gulch,38,6,0,0
2020-02-09,Washington Gulch,34,4,0,0
2020-02-10,Washington Gulch,15,0,0,0
2020-02-11,Washington Gulch,12,7,0,0
2020-02-12,Washington Gulch,14,4,0,0
2020-02-13,Washington Gulch,12,0,0,0
2020-02-14,Washington Gulch,24,10,0,0
2020-02-15,Washington Gulch,57,4,0,0
2020-02-16,Washington Gulch,50,0,0,0
2020-02-17,Washington Gulch,16,2,0,0
2020-02-18,Washington Gulch,46,3,0,0
2020-02-19,Washington Gulch,20,2,1,0
2020-02-20,Washington Gulch,36,1,0,0
2020-02-21,Washington Gulch,38,13,0,0
2020-02-22,Washington Gulch,62,9,0,0
2020-02-23,Washington Gulch,28,0,0,0
2020-02-24,Washington Gulch,12,2,0,0
2020-02-25,Washington Gulch,23,2,0,0
2020-02-26,Washington Gulch,30,5,0,0
2020-02-27,Washington Gulch,25,4,1,0
2020-02-28,Washington Gulch,20,7,3,0
2020-02-29,Washington Gulch,32,10,1,0
2020-03-01,Washington Gulch,39,3,1,0
2020-03-02,Washington Gulch,6,3,0,0
2020-03-03,Washington Gulch,12,4,0,0
2020-03-04,Washington Gulch,16,3,0,0
2020-03-05,Washington Gulch,14,3,1,0
2020-03-06,Washington Gulch,25,0,0,0
2020-03-07,Washington Gulch,30,3,0,0
2020-03-08,Washington Gulch,25,15,0,0
2020-03-09,Washington Gulch,18,3,1,0
2020-03-10,Washington Gulch,14,8,0,0
2020-03-11,Washington Gulch,8,4,0,0
2020-03-12,Washington Gulch,7,10,0,0
2020-03-13,Washington Gulch,25,8,0,0
2020-03-14,Washington Gulch,58,14,0,0
2020-03-15,Washington Gulch,82,18,0,0
2020-03-16,Washington Gulch,42,5,0,0
2020-03-17,Washington Gulch,26,7,0,0
2020-03-18,Washington Gulch,16,9,1,0
2020-03-19,Washington Gulch,8,3,0,0
2020-03-20,Washington Gulch,47,4,0,0
2020-03-21,Washington Gulch,61,10,0,0
2020-03-22,Washington Gulch,25,19,1,0
2020-03-23,Washington Gulch,31,8,0,0
2020-03-24,Washington Gulch,38,6,1,0
2020-03-25,Washington Gulch,17,4,1,0
2020-03-26,Washington Gulch,12,7,0,0
2020-03-27,Washington Gulch,31,0,0,0
2020-03-28,Washington Gulch,17,5,1,0
2020-03-29,Washington Gulch,33,10,0,0
2020-03-30,Washington Gulch,10,2,0,0
2020-03-31,Washington Gulch,20,9,0,0
2020-04-01,Washington Gulch,16,7,0,0
2020-04-02,Washington Gulch,19,4,0,0
2020-04-03,Washington Gulch,7,7,0,0
2020-04-04,Washington Gulch,10,8,0,0
2020-04-05,Washington Gulch,18,10,0,0
2020-04-06,Washington Gulch,38,8,0,0
2020-04-07,Washington Gulch,11,5,0,0
2020-04-08,Washington Gulch,8,2,0,0
2020-04-09,Washington Gulch,9,5,2,0
2020-04-10,Washington Gulch,16,9,0,0
2020-04-11,Washington Gulch,4,0,0,0
2020-04-12,Washington Gulch,3,0,0,0
2020-04-13,Washington Gulch,2,0,0,0
2020-04-14,Washington Gulch,,,,
2020-04-15,Washington Gulch,0,0,0,0
