date_time,rating_above,rating_near,rating_below 
2017-12-21T06:42:00,2,2,1
2017-12-22T06:55:00,2,2,1
2017-12-22T07:06:00,2,2,1
2017-12-23T06:51:00,2,1,1
2017-12-23T07:11:00,2,1,1
2017-12-24T06:52:00,1,1,1
2017-12-24T07:18:00,1,1,1
2017-12-24T08:35:00,1,1,1
2017-12-24T08:40:00,1,1,1
2017-12-24T08:47:00,1,1,1
2017-12-25T07:30:00,2,1,1
2017-12-26T05:55:00,1,1,1
2017-12-27T06:47:00,1,1,1
2017-12-27T07:26:00,1,1,1
2017-12-27T07:27:00,1,1,1
2017-12-28T05:59:00,1,1,1
2017-12-28T06:32:00,1,1,1
2017-12-29T04:47:00,1,1,1
2017-12-29T06:13:00,1,1,1
2017-12-29T06:15:00,1,1,1
2017-12-29T06:20:00,1,1,1
2017-12-30T06:19:00,1,1,1
2017-12-31T06:09:00,1,1,1
2018-01-01T06:01:00,1,1,1
2018-01-02T06:19:00,1,1,1
2018-01-03T06:06:00,1,1,1
2018-01-04T06:57:00,1,1,1
2018-01-05T06:04:00,1,1,1
2018-01-05T06:23:00,1,1,1
2018-01-06T05:53:00,1,1,1
2018-01-06T06:27:00,1,1,1
2018-01-07T06:14:00,2,2,2
2018-01-08T07:05:00,2,2,1
2018-01-09T07:26:00,2,2,1
2018-01-10T07:48:00,3,3,3
2018-01-10T07:51:00,3,3,3
2018-01-11T04:28:00,3,3,3
2018-01-11T12:26:00,3,3,3
2018-01-12T06:03:00,3,3,3
2018-01-12T07:01:00,3,3,3
2018-01-12T07:03:00,3,3,3
2018-01-13T06:18:00,3,3,3
2018-01-13T06:39:00,3,3,3
2018-01-13T06:43:00,3,3,3
2018-01-13T10:40:00,3,3,3
2018-01-14T06:10:00,3,3,2
2018-01-14T06:33:00,3,3,2
2018-01-15T04:57:00,3,3,2
2018-01-16T06:52:00,3,3,2
2018-01-17T06:09:00,2,2,2
2018-01-18T05:33:00,2,2,2
2018-01-18T05:47:00,2,2,2
2018-01-19T05:58:00,2,2,2
2018-01-20T06:21:00,2,2,2
2018-01-20T06:51:00,2,2,2
2018-01-21T06:53:00,3,3,3
2018-01-21T07:12:00,3,3,3
2018-01-21T07:26:00,3,3,3
2018-01-22T05:08:00,3,3,3
2018-01-23T07:20:00,3,3,3
2018-01-24T05:52:00,2,2,2
2018-01-25T05:31:00,2,2,2
2018-01-25T06:55:00,2,2,2
2018-01-25T06:58:00,2,2,2
2018-01-26T04:53:00,2,2,2
2018-01-26T06:09:00,2,2,2
2018-01-26T06:24:00,2,2,2
2018-01-26T07:10:00,2,2,2
2018-01-26T07:11:00,2,2,2
2018-01-27T05:53:00,2,2,2
2018-01-27T07:06:00,2,2,2
2018-01-27T07:07:00,2,2,2
2018-01-28T06:09:00,2,2,2
2018-01-28T06:48:00,2,2,2
2018-01-28T06:56:00,2,2,2
2018-01-29T06:50:00,2,2,2
2018-01-29T07:11:00,2,2,2
2018-01-30T06:25:00,2,2,2
2018-01-31T06:48:00,2,2,2
2018-01-31T11:45:00,2,2,2
2018-02-01T05:59:00,2,2,2
2018-02-01T06:34:00,2,2,2
2018-02-01T06:36:00,2,2,2
2018-02-02T05:26:00,2,2,2
2018-02-02T06:15:00,2,2,2
2018-02-03T05:21:00,2,2,2
2018-02-03T07:08:00,2,2,2
2018-02-04T06:26:00,2,2,2
2018-02-04T07:02:00,2,2,2
2018-02-05T07:07:00,2,2,2
2018-02-06T07:05:00,2,2,2
2018-02-06T07:18:00,2,2,2
2018-02-07T06:54:00,2,2,2
2018-02-07T08:53:00,2,2,2
2018-02-08T05:40:00,2,2,1
2018-02-08T06:43:00,2,2,1
2018-02-08T06:47:00,2,2,1
2018-02-08T06:47:00,2,2,1
2018-02-09T06:20:00,2,2,1
2018-02-09T07:01:00,2,2,1
2018-02-09T07:02:00,2,2,1
2018-02-09T07:09:00,2,2,1
2018-02-10T06:33:00,3,3,2
2018-02-10T06:58:00,3,3,2
2018-02-11T05:59:00,3,3,2
2018-02-12T07:16:00,3,3,3
2018-02-13T06:49:00,3,3,3
2018-02-14T06:58:00,3,3,3
2018-02-14T07:04:00,3,3,3
2018-02-15T05:10:00,3,3,3
2018-02-16T06:00:00,3,3,3
2018-02-17T06:10:00,3,3,2
2018-02-18T06:40:00,2,2,2
2018-02-18T07:45:00,2,2,2
2018-02-18T08:37:00,2,2,2
2018-02-19T08:20:00,2,2,2
2018-02-19T08:30:00,3,3,3
2018-02-19T10:58:00,3,3,3
2018-02-19T11:08:00,3,3,3
2018-02-20T06:22:00,3,3,3
2018-02-21T05:59:00,3,3,3
2018-02-22T06:32:00,3,3,2
2018-02-22T06:51:00,3,3,2
2018-02-23T06:50:00,3,3,2
2018-02-24T06:22:00,3,3,2
2018-02-25T06:44:00,3,3,2
2018-02-25T07:09:00,3,3,2
2018-02-26T07:08:00,2,2,2
2018-02-27T06:17:00,2,2,2
2018-02-27T06:26:00,2,2,2
2018-02-27T06:27:00,2,2,2
2018-02-27T06:31:00,2,2,2
2018-02-28T05:58:00,2,2,2
2018-02-28T06:14:00,2,2,2
2018-02-28T07:04:00,2,2,2
2018-03-01T05:18:00,2,2,2
2018-03-02T06:18:00,2,2,1
2018-03-02T06:39:00,2,2,1
2018-03-02T06:42:00,2,2,1
2018-03-03T06:42:00,2,2,1
2018-03-04T05:52:00,2,2,1
2018-03-05T06:53:00,2,2,1
2018-03-05T07:10:00,2,2,1
2018-03-06T06:40:00,2,2,1
2018-03-07T06:51:00,2,2,1
2018-03-08T07:04:00,2,2,1
2018-03-09T05:44:00,2,2,1
2018-03-09T06:14:00,2,2,1
2018-03-10T06:33:00,1,1,1
2018-03-11T05:41:00,1,1,1
2018-03-12T05:44:00,1,1,1
2018-03-13T05:58:00,1,1,1
2018-03-14T05:19:00,1,2,2
2018-03-14T06:09:00,1,2,2
2018-03-15T06:59:00,2,2,2
2018-03-15T07:25:00,2,2,2
2018-03-16T05:53:00,2,2,2
2018-03-17T06:24:00,2,2,2
2018-03-17T06:48:00,2,2,2
2018-03-17T07:03:00,2,2,2
2018-03-17T07:06:00,2,2,2
2018-03-18T05:42:00,2,2,2
2018-03-19T07:06:00,2,2,1
2018-03-20T06:15:00,2,2,1
2018-03-21T06:56:00,1,1,1
2018-03-22T03:58:00,1,1,1
2018-03-23T06:41:00,2,2,3
2018-03-24T06:27:00,2,2,1
2018-03-25T06:18:00,2,2,1
2018-03-26T07:08:00,1,1,1
2018-03-26T07:55:00,2,1,1
2018-03-27T06:54:00,1,1,1
2018-03-27T07:02:00,1,1,1
2018-03-27T07:04:00,1,1,1
2018-03-28T06:50:00,1,1,1
2018-03-29T05:58:00,1,1,1
2018-03-30T06:25:00,1,1,1
2018-03-31T05:46:00,1,1,1
2018-04-01T05:34:00,1,1,1
2018-04-01T06:26:00,1,1,1
2018-04-02T06:26:00,1,1,1
2018-04-03T06:07:00,1,1,1
2018-04-04T06:14:00,1,2,2
2018-04-05T06:10:00,1,2,2
2018-04-06T06:24:00,1,2,2
2018-04-07T06:50:00,2,2,2
2018-04-07T07:02:00,2,2,2
2018-04-08T06:36:00,3,3,3
2018-04-08T06:57:00,3,3,3
2018-04-09T07:03:00,1,1,1
2018-04-09T07:23:00,1,1,1
2018-04-10T06:33:00,1,1,1
2018-04-11T07:06:00,2,2,2
2018-04-11T07:13:00,2,2,2
2018-04-12T06:48:00,1,2,2
2018-04-13T06:23:00,2,2,1
2018-04-13T07:17:00,2,2,1
2018-04-14T06:30:00,2,2,1
2018-04-14T06:50:00,2,2,1
2018-04-15T06:03:00,2,2,1
