date_time,rating_above,rating_near,rating_below
2018-12-01T07:03:00,3,3,2
2018-12-01T08:09:00,3,3,2
2018-12-02T06:46:00,3,3,3
2018-12-03T07:07:00,3,3,2
2018-12-03T07:20:00,3,3,2
2018-12-04T07:22:00,3,3,2
2018-12-05T06:54:00,3,3,2
2018-12-06T07:09:00,2,2,2
2018-12-07T06:50:00,2,2,2
2018-12-07T07:10:00,2,2,2
2018-12-08T06:24:00,2,2,2
2018-12-09T06:38:00,2,2,2
2018-12-10T06:33:00,2,2,2
2018-12-10T07:03:00,2,2,2
2018-12-11T06:50:00,2,2,2
2018-12-12T06:54:00,2,2,1
2018-12-12T07:19:00,2,2,1
2018-12-13T06:27:00,3,3,2
2018-12-13T08:32:00,3,3,2
2018-12-14T06:23:00,3,3,2
2018-12-15T07:22:00,2,2,2
2018-12-16T07:14:00,2,2,2
2018-12-16T07:38:00,2,2,2
2018-12-17T07:11:00,2,2,2
2018-12-18T07:10:00,2,2,2
2018-12-19T07:01:00,2,2,2
2018-12-20T06:49:00,2,2,1
2018-12-21T07:15:00,2,2,1
2018-12-22T07:09:00,2,2,1
2018-12-23T07:16:00,2,2,1
2018-12-23T07:21:00,2,2,1
2018-12-24T07:18:00,2,2,2
2018-12-25T07:17:00,2,2,2
2018-12-25T14:14:00,2,2,2
2018-12-26T07:02:00,3,3,3
2018-12-26T08:19:00,3,3,3
2018-12-27T06:24:00,3,3,2
2018-12-27T08:24:00,3,3,2
2018-12-28T06:58:00,3,3,2
2018-12-29T07:15:00,3,3,2
2018-12-30T07:06:00,3,3,2
2018-12-30T07:27:00,3,3,2
2018-12-31T05:57:00,3,3,3
2018-12-31T07:35:00,3,3,3
2019-01-01T05:40:00,3,3,3
2019-01-01T07:39:00,3,3,3
2019-01-02T06:24:00,3,3,2
2019-01-03T06:38:00,3,3,2
2019-01-04T07:13:00,3,3,2
2019-01-04T07:24:00,3,3,2
2019-01-04T07:25:00,3,3,2
2019-01-05T07:17:00,2,2,2
2019-01-05T07:26:00,2,2,2
2019-01-06T06:59:00,3,3,3
2019-01-07T07:05:00,3,3,3
2019-01-08T06:50:00,3,3,3
2019-01-09T06:44:00,3,3,3
2019-01-09T07:45:00,3,3,3
2019-01-10T07:14:00,3,3,3
2019-01-10T07:53:00,3,3,3
2019-01-11T06:56:00,2,2,2
2019-01-12T07:07:00,3,3,2
2019-01-13T06:51:00,2,2,2
2019-01-14T06:51:00,2,2,2
2019-01-14T07:37:00,2,2,2
2019-01-15T06:59:00,2,2,2
2019-01-15T07:31:00,2,2,2
2019-01-16T07:01:00,4,4,3
2019-01-16T07:44:00,4,4,3
2019-01-17T07:15:00,3,3,2
2019-01-18T06:28:00,4,4,4
2019-01-19T06:42:00,3,3,3
2019-01-20T06:40:00,3,3,3
2019-01-21T06:26:00,3,3,3
2019-01-22T06:32:00,3,3,3
2019-01-23T06:12:00,3,3,2
2019-01-24T06:48:00,3,3,2
2019-01-25T07:18:00,3,3,2
2019-01-25T07:37:00,3,3,2
2019-01-25T07:39:00,3,3,2
2019-01-26T07:13:00,3,3,2
2019-01-27T07:36:00,3,3,2
2019-01-27T07:45:00,3,3,2
2019-01-28T06:48:00,2,2,2
2019-01-28T07:30:00,2,2,2
2019-01-29T05:52:00,2,2,2
2019-01-30T06:46:00,2,2,1
2019-01-31T06:32:00,2,2,1
2019-02-01T07:08:00,2,2,1
2019-02-02T07:19:00,2,2,1
2019-02-03T07:14:00,3,3,2
2019-02-04T07:00:00,3,3,2
2019-02-05T07:17:00,3,2,2
2019-02-05T07:53:00,3,2,2
2019-02-06T06:40:00,4,4,3
2019-02-07T06:40:00,3,3,2
2019-02-08T06:28:00,3,2,2
2019-02-08T06:54:00,3,2,2
2019-02-08T06:54:00,3,2,2
2019-02-09T06:34:00,3,2,2
2019-02-10T06:37:00,2,2,2
2019-02-10T06:50:00,2,2,2
2019-02-10T06:53:00,2,2,2
2019-02-11T07:04:00,2,2,1
2019-02-12T07:16:00,2,2,1
2019-02-13T07:02:00,2,2,1
2019-02-14T07:16:00,3,2,2
2019-02-15T06:34:00,4,4,3
2019-02-15T06:46:00,4,4,3
2019-02-16T07:00:00,3,3,3
2019-02-17T07:06:00,3,3,3
2019-02-18T06:58:00,3,3,2
2019-02-19T04:49:00,3,3,2
2019-02-20T06:59:00,3,3,2
2019-02-20T07:33:00,3,3,2
2019-02-21T06:45:00,3,3,3
2019-02-21T07:30:00,3,3,3
2019-02-21T07:32:00,3,3,3
2019-02-22T07:06:00,3,3,3
2019-02-23T07:02:00,3,3,3
2019-02-24T06:45:00,3,3,2
2019-02-25T06:22:00,3,3,2
2019-02-26T06:52:00,2,2,2
2019-02-26T07:35:00,2,2,2
2019-02-27T05:39:00,2,2,2
2019-02-28T06:36:00,2,2,2
2019-03-01T07:10:00,2,2,1
2019-03-02T07:29:00,3,3,2
2019-03-03T07:27:00,3,3,3
2019-03-04T06:24:00,3,3,3
2019-03-04T06:47:00,3,3,3
2019-03-05T07:03:00,3,3,3
2019-03-06T06:55:00,3,3,2
2019-03-06T19:54:00,4,4,3
2019-03-07T07:08:00,4,4,3
2019-03-08T07:02:00,3,3,3
2019-03-09T06:51:00,4,4,3
2019-03-10T07:22:00,3,3,3
2019-03-11T07:05:00,3,3,2
2019-03-12T07:17:00,3,3,3
2019-03-12T08:19:00,3,3,3
2019-03-12T11:52:00,4,4,4
2019-03-13T06:27:00,4,4,3
2019-03-14T07:15:00,4,4,3
2019-03-15T07:05:00,3,3,2
2019-03-15T07:13:00,3,3,2
2019-03-16T07:41:00,3,3,2
2019-03-17T07:25:00,3,3,2
2019-03-17T07:36:00,3,3,2
2019-03-18T06:10:00,2,2,2
2019-03-19T05:57:00,2,2,2
2019-03-20T05:51:00,2,2,2
2019-03-21T06:48:00,2,2,2
2019-03-22T06:53:00,3,3,2
2019-03-23T06:39:00,2,2,1
2019-03-24T07:11:00,2,2,1
2019-03-25T05:28:00,2,2,2
2019-03-26T05:58:00,2,2,2
2019-03-27T06:18:00,1,2,2
2019-03-28T06:43:00,1,2,2
2019-03-28T07:28:00,1,2,2
2019-03-29T06:50:00,1,1,1
2019-03-30T06:24:00,1,1,1
2019-03-30T06:25:00,1,1,1
2019-03-31T06:31:00,1,1,1
2019-04-01T06:27:00,2,1,1
2019-04-02T06:36:00,1,1,1
2019-04-03T07:06:00,2,1,1
2019-04-03T08:31:00,2,1,1
2019-04-04T06:41:00,2,1,1
2019-04-05T06:48:00,1,1,1
2019-04-05T06:51:00,1,1,1
2019-04-06T06:33:00,1,1,1
2019-04-07T06:41:00,1,1,1
2019-04-07T06:51:00,1,1,1
2019-04-07T06:56:00,1,1,1
2019-04-08T06:36:00,1,2,2
2019-04-09T06:45:00,1,2,2
2019-04-10T06:47:00,2,2,1
2019-04-11T07:00:00,3,3,2
2019-04-11T07:59:00,3,3,2
2019-04-11T08:05:00,3,3,2
2019-04-12T06:45:00,2,2,1
2019-04-13T06:32:00,1,1,1
2019-04-14T06:35:00,1,1,1
