# Butte (380) ,b,c,d,e,f,g
# Colorado  SNOTEL Site - 10160 ft,,,,,,
# Reporting Frequency: Daily; Date Range: 2017-12-21 to 2018-04-16,,,,,,
#,,,,,,
# As of: Sep 22, 2020 9:40:05 AM GMT-08:00,,,,,
#,,,,,,
Date,Snow Water Equivalent (in) Start of Day Values,Change In Snow Water Equivalent (in),Snow Depth (in) Start of Day Values,Change In Snow Depth (in),Air Temperature Average (degF),Snow Density (pct) Start of Day Values
2017-12-21,2,0,8,0,22,25
2017-12-22,2,0,11,3,17,18.2
2017-12-23,2.1,0.1,10,-1,21,21
2017-12-24,2.4,0.3,14,4,19,17.1
2017-12-25,2.6,0.2,14,0,25,18.6
2017-12-26,3.1,0.5,20,6,25,15.5
2017-12-27,3.1,0,18,-2,27,17.2
2017-12-28,3.2,0.1,17,-1,31,18.8
2017-12-29,3.2,0,17,0,36,18.8
2017-12-30,3.2,0,15,-2,37,21.3
2017-12-31,3.2,0,15,0,31,21.3
2018-01-01,3.2,0,15,0,27,21.3
2018-01-02,3.2,0,15,0,22,21.3
2018-01-03,3.2,0,15,0,27,21.3
2018-01-04,3.2,0,15,0,29,21.3
2018-01-05,3.2,0,14,-1,32,22.9
2018-01-06,3.2,0,14,0,30,22.9
2018-01-07,3.5,0.3,18,4,25,19.4
2018-01-08,3.7,0.2,20,2,29,18.5
2018-01-09,3.8,0.1,21,1,34,18.1
2018-01-10,4,0.2,21,0,28,19
2018-01-11,4.1,0.1,26,5,17,15.8
2018-01-12,4.3,0.2,24,-2,22,17.9
2018-01-13,4.4,0.1,24,0,24,18.3
2018-01-14,4.4,0,24,0,27,18.3
2018-01-15,4.4,0,23,-1,27,19.1
2018-01-16,4.4,0,22,-1,20,20
2018-01-17,4.4,0,22,0,24,20
2018-01-18,4.4,0,21,-1,29,21
2018-01-19,4.5,0.1,21,0,34,21.4
2018-01-20,4.5,0,21,0,32,21.4
2018-01-21,4.6,0.1,23,2,15,20
2018-01-22,4.6,0,21,-2,12,21.9
2018-01-23,4.6,0,22,1,16,20.9
2018-01-24,4.6,0,22,0,22,20.9
2018-01-25,4.6,0,22,0,28,20.9
2018-01-26,4.7,0.1,22,0,15,21.4
2018-01-27,4.7,0,23,1,16,20.4
2018-01-28,4.7,0,23,0,25,20.4
2018-01-29,4.8,0.1,22,-1,30,21.8
2018-01-30,4.8,0,22,0,34,21.8
2018-01-31,4.8,0,22,0,34,21.8
2018-02-01,4.9,0.1,21,-1,32,23.3
2018-02-02,4.9,0,20,-1,33,24.5
2018-02-03,4.9,0,21,1,32,23.3
2018-02-04,4.9,0,19,-2,32,25.8
2018-02-05,5,0.1,18,-1,29,27.8
2018-02-06,5.2,0.2,23,5,22,22.6
2018-02-07,5.2,0,23,0,24,22.6
2018-02-08,5.3,0.1,25,2,28,21.2
2018-02-09,5.3,0,24,-1,33,22.1
2018-02-10,5.3,0,24,0,24,22.1
2018-02-11,5.6,0.3,27,3,13,20.7
2018-02-12,5.7,0.1,27,0,23,21.1
2018-02-13,6.1,0.4,29,2,28,21
2018-02-14,6.2,0.1,30,1,30,20.7
2018-02-15,6.3,0.1,28,-2,24,22.5
2018-02-16,6.7,0.4,32,4,18,20.9
2018-02-17,6.7,0,32,0,25,20.9
2018-02-18,6.7,0,31,-1,32,21.6
2018-02-19,6.8,0.1,29,-2,24,23.4
2018-02-20,6.8,0,31,2,8,21.9
2018-02-21,6.8,0,31,0,11,21.9
2018-02-22,6.8,0,30,-1,16,22.7
2018-02-23,6.9,0.1,30,0,15,23
2018-02-24,6.9,0,31,1,10,22.3
2018-02-25,7.1,0.2,32,1,11,22.2
2018-02-26,7.1,0,32,0,20,22.2
2018-02-27,7.2,0.1,32,0,26,22.5
2018-02-28,7.2,0,31,-1,23,23.2
2018-03-01,7.2,0,31,0,24,23.2
2018-03-02,7.2,0,31,0,30,23.2
2018-03-03,7.3,0.1,30,-1,34,24.3
2018-03-04,7.3,0,29,-1,24,25.2
2018-03-05,7.3,0,31,2,13,23.5
2018-03-06,7.3,0,31,0,19,23.5
2018-03-07,7.4,0.1,31,0,27,23.9
2018-03-08,7.4,0,30,-1,33,24.7
2018-03-09,7.4,0,30,0,34,24.7
2018-03-10,7.4,0,30,0,31,24.7
2018-03-11,7.4,0,29,-1,31,25.5
2018-03-12,7.4,0,29,0,33,25.5
2018-03-13,7.4,0,29,0,34,25.5
2018-03-14,7.4,0,29,0,39,25.5
2018-03-15,7.5,0.1,28,-1,31,26.8
2018-03-16,7.7,0.2,29,1,25,26.6
2018-03-17,7.8,0.1,32,3,29,24.4
2018-03-18,7.9,0.1,31,-1,24,25.5
2018-03-19,8,0.1,32,1,19,25
2018-03-20,8,0,30,-2,24,26.7
2018-03-21,8.1,0.1,32,2,30,25.3
2018-03-22,8.1,0,30,-2,36,27
2018-03-23,8.2,0.1,29,-1,34,28.3
2018-03-24,8.9,0.7,34,5,32,26.2
2018-03-25,8.9,0,35,1,35,25.4
2018-03-26,8.9,0,34,-1,31,26.2
2018-03-27,8.9,0,33,-1,29,27
2018-03-28,8.9,0,33,0,27,27
2018-03-29,8.9,0,33,0,27,27
2018-03-30,8.9,0,32,-1,33,27.8
2018-03-31,8.9,0,32,0,39,27.8
2018-04-01,8.8,-0.1,30,-2,41,29.3
2018-04-02,8.7,-0.1,29,-1,39,30
2018-04-03,8.8,0.1,30,1,27,29.3
2018-04-04,8.9,0.1,28,-2,33,31.8
2018-04-05,8.9,0,27,-1,35,33
2018-04-06,8.9,0,25,-2,35,35.6
2018-04-07,9.2,0.3,31,6,37,29.7
2018-04-08,10,0.8,33,2,33,30.3
2018-04-09,10.1,0.1,33,0,31,30.6
2018-04-10,10.1,0,31,-2,38,32.6
2018-04-11,9.9,-0.2,29,-2,45,34.1
2018-04-12,9.5,-0.4,28,-1,40,33.9
2018-04-13,9.4,-0.1,26,-2,23,36.2
2018-04-14,9.4,0,28,2,28,33.6
2018-04-15,9.2,-0.2,27,-1,37,34.1
2018-04-16,8.9,-0.3,24,-3,43,37.1
