# Butte (380) ,b,c,d,e,f,g
# Colorado  SNOTEL Site - 10160 ft,,,,,,
# Reporting Frequency: Daily, Date Range: 2018-12-01 to 2019-04-15,,,,,
#,,,,,,
# As of: Sep 22, 2020 9:42:12 AM GMT-08:00,,,,,
#,,,,,,
Date,Snow Water Equivalent (in) Start of Day Values,Change In Snow Water Equivalent (in),Snow Depth (in) Start of Day Values,Change In Snow Depth (in),Air Temperature Average (degF),Snow Density (pct) Start of Day Values
date,swe,change_swe,snow_depth,change_depth,air_temp,snow_density
2018-12-01,3.3,0.2,19,1,16,17.4
2018-12-02,3.3,0,20,1,14,16.5
2018-12-03,3.4,0.1,19,-1,13,17.9
2018-12-04,3.5,0.1,20,1,8,17.5
2018-12-05,3.5,0,19,-1,21,18.4
2018-12-06,3.7,0.2,18,-1,25,20.6
2018-12-07,3.8,0.1,21,3,23,18.1
2018-12-08,3.8,0,20,-1,23,19
2018-12-09,3.8,0,20,0,19,19
2018-12-10,3.8,0,20,0,21,19
2018-12-11,3.9,0.1,19,-1,27,20.5
2018-12-12,3.9,0,19,0,21,20.5
2018-12-13,4,0.1,21,2,15,19
2018-12-14,4,0,20,-1,24,20
2018-12-15,4,0,20,0,29,20
2018-12-16,4.1,0.1,19,-1,28,21.6
2018-12-17,4.1,0,19,0,29,21.6
2018-12-18,4.1,0,19,0,27,21.6
2018-12-19,4.1,0,19,0,24,21.6
2018-12-20,4.1,0,20,1,25,20.5
2018-12-21,4.1,0,19,-1,28,21.6
2018-12-22,4.2,0.1,19,0,20,22.1
2018-12-23,4.2,0,21,2,19,20
2018-12-24,4.3,0.1,20,-1,21,21.5
2018-12-25,4.7,0.4,25,5,25,18.8
2018-12-26,4.7,0,23,-2,24,20.4
2018-12-27,4.7,0,24,1,12,19.6
2018-12-28,4.7,0,24,0,12,19.6
2018-12-29,4.7,0,24,0,8,19.6
2018-12-30,4.7,0,24,0,16,19.6
2018-12-31,4.9,0.2,23,-1,14,21.3
2019-01-01,5.1,0.2,29,6,11,17.6
2019-01-02,5.1,0,28,-1,10,18.2
2019-01-03,5.1,0,27,-1,22,18.9
2019-01-04,5.3,0.2,26,-1,29,20.4
2019-01-05,5.3,0,25,-1,30,21.2
2019-01-06,5.3,0,25,0,26,21.2
2019-01-07,5.8,0.5,32,7,21,18.1
2019-01-08,5.9,0.1,32,0,24,18.4
2019-01-09,6,0.1,30,-2,29,20
2019-01-10,6,0,29,-1,29,20.7
2019-01-11,6.1,0.1,29,0,25,21
2019-01-12,6.1,0,28,-1,21,21.8
2019-01-13,6.2,0.1,30,2,18,20.7
2019-01-14,6.2,0,30,0,18,20.7
2019-01-15,6.2,0,29,-1,24,21.4
2019-01-16,6.3,0.1,29,0,26,21.7
2019-01-17,7,0.7,38,9,28,18.4
2019-01-18,7.5,0.5,41,3,22,18.3
2019-01-19,7.8,0.3,43,2,20,18.1
2019-01-20,7.9,0.1,41,-2,27,19.3
2019-01-21,7.9,0,39,-2,23,20.3
2019-01-22,8,0.1,41,2,12,19.5
2019-01-23,8,0,40,-1,14,20
2019-01-24,8.2,0.2,40,0,17,20.5
2019-01-25,8.3,0.1,40,0,15,20.8
2019-01-26,8.3,0,39,-1,19,21.3
2019-01-27,8.3,0,38,-1,24,21.8
2019-01-28,8.3,0,38,0,17,21.8
2019-01-29,8.3,0,38,0,16,21.8
2019-01-30,8.3,0,37,-1,20,22.4
2019-01-31,8.3,0,36,-1,24,23.1
2019-02-01,8.3,0,36,0,25,23.1
2019-02-02,8.3,0,36,0,26,23.1
2019-02-03,8.4,0.1,36,0,28,23.3
2019-02-04,8.8,0.4,39,3,28,22.6
2019-02-05,9,0.2,40,1,26,22.5
2019-02-06,9,0,40,0,16,22.5
2019-02-07,9.2,0.2,43,3,4,21.4
2019-02-08,9.2,0,42,-1,10,21.9
2019-02-09,9.2,0,41,-1,20,22.4
2019-02-10,9.3,0.1,40,-1,20,23.2
2019-02-11,9.3,0,40,0,15,23.2
2019-02-12,9.3,0,40,0,18,23.2
2019-02-13,9.4,0.1,40,0,26,23.5
2019-02-14,9.7,0.3,41,1,29,23.7
2019-02-15,10.8,1.1,51,10,27,21.2
2019-02-16,11.1,0.3,52,1,14,21.3
2019-02-17,11.3,0.2,55,3,10,20.5
2019-02-18,11.4,0.1,53,-2,13,21.5
2019-02-19,11.5,0.1,53,0,11,21.7
2019-02-20,11.6,0.1,53,0,7,21.9
2019-02-21,11.6,0,52,-1,15,22.3
2019-02-22,11.8,0.2,52,0,20,22.7
2019-02-23,12.1,0.3,53,1,13,22.8
2019-02-24,12.1,0,52,-1,14,23.3
2019-02-25,12.1,0,51,-1,22,23.7
2019-02-26,12.1,0,50,-1,27,24.2
2019-02-27,12.1,0,50,0,30,24.2
2019-02-28,12.2,0.1,49,-1,30,24.9
2019-03-01,12.3,0.1,49,0,29,25.1
2019-03-02,13,0.7,58,9,30,22.4
2019-03-03,13.7,0.7,64,6,27,21.4
2019-03-04,14.4,0.7,66,2,23,21.8
2019-03-05,14.4,0,64,-2,24,22.5
2019-03-06,14.5,0.1,62,-2,31,23.4
2019-03-07,16.2,1.7,71,9,30,22.8
2019-03-08,16.6,0.4,71,0,27,23.4
2019-03-09,17.2,0.6,76,5,22,22.6
2019-03-10,17.3,0.1,73,-3,25,23.7
2019-03-11,17.3,0,71,-2,29,24.4
2019-03-12,17.4,0.1,70,-1,32,24.9
2019-03-13,18.1,0.7,74,4,24,24.5
2019-03-14,18.1,0,74,0,17,24.5
2019-03-15,18.1,0,72,-2,18,25.1
2019-03-16,18.2,0.1,70,-2,26,26
2019-03-17,18.2,0,69,-1,28,26.4
2019-03-18,18.3,0.1,68,-1,29,26.9
2019-03-19,18.3,0,67,-1,28,27.3
2019-03-20,18.3,0,66,-1,30,27.7
2019-03-21,18.4,0.1,65,-1,33,28.3
2019-03-22,18.4,0,64,-1,28,28.8
2019-03-23,18.4,0,65,1,28,28.3
2019-03-24,18.4,0,64,-1,29,28.8
2019-03-25,18.6,0.2,64,0,31,29.1
2019-03-26,18.9,0.3,63,-1,36,30
2019-03-27,18.9,0,62,-1,42,30.5
2019-03-28,18.9,0,60,-2,40,31.5
2019-03-29,19,0.1,58,-2,26,32.8
2019-03-30,19.1,0.1,61,3,24,31.3
2019-03-31,19.1,0,59,-2,24,32.4
2019-04-01,19.1,0,58,-1,29,32.9
2019-04-02,19.1,0,58,0,33,32.9
2019-04-03,19.2,0.1,58,0,31,33.1
2019-04-04,19.4,0.2,59,1,35,32.9
2019-04-05,19.4,0,57,-2,38,34
2019-04-06,19.3,-0.1,57,0,35,33.9
2019-04-07,19.1,-0.2,57,0,37,33.5
2019-04-08,19.3,0.2,54,-3,41,35.7
2019-04-09,19.3,0,53,-1,43,36.4
2019-04-10,19,-0.3,51,-2,30,37.3
2019-04-11,18.9,-0.1,53,2,20,35.7
2019-04-12,18.7,-0.2,53,0,24,35.3
2019-04-13,18.8,0.1,52,-1,27,36.2
2019-04-14,18.7,-0.1,51,-1,35,36.7
2019-04-15,18.6,-0.1,50,-1,41,37.2
