"","date","modality","year","week","weekend","has_sled","user.count","rating_above","rating_near","rating_below","swe","change_swe","snow_depth","change_depth","air_temp","snow_density","lag1snow","lag2snow","lag3snow","lag4snow","past2snow","past3snow","past4snow","past5snow"
"1",2001-02-16,"Non.motorized","w2021","Fri","weekday","no_sled",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2001-02-16,"Mechanized","w2021","Fri","weekday","no_sled",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001-02-16,"Hybrid","w2021","Fri","weekday","sled",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2001-02-16,"Motorized","w2021","Fri","weekday","sled",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2012-04-13,"Non.motorized","w2021","Fri","weekday","no_sled",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2012-04-13,"Mechanized","w2021","Fri","weekday","no_sled",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2012-04-13,"Hybrid","w2021","Fri","weekday","sled",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2012-04-13,"Motorized","w2021","Fri","weekday","sled",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2017-12-22,"Non.motorized","w1718","Fri","weekday","no_sled",28,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"10",2017-12-22,"Mechanized","w1718","Fri","weekday","no_sled",2,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"11",2017-12-22,"Hybrid","w1718","Fri","weekday","sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"12",2017-12-22,"Motorized","w1718","Fri","weekday","sled",1,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"13",2017-12-23,"Non.motorized","w1718","Sat","weekend","no_sled",16,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"14",2017-12-23,"Mechanized","w1718","Sat","weekend","no_sled",2,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"15",2017-12-23,"Hybrid","w1718","Sat","weekend","sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"16",2017-12-23,"Motorized","w1718","Sat","weekend","sled",4,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"17",2017-12-24,"Non.motorized","w1718","Sun","weekend","no_sled",52,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"18",2017-12-24,"Mechanized","w1718","Sun","weekend","no_sled",4,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"19",2017-12-24,"Hybrid","w1718","Sun","weekend","sled",6,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"20",2017-12-24,"Motorized","w1718","Sun","weekend","sled",12,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"21",2017-12-25,"Non.motorized","w1718","Mon","weekday","no_sled",128,"2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"22",2017-12-25,"Mechanized","w1718","Mon","weekday","no_sled",5,"2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"23",2017-12-25,"Hybrid","w1718","Mon","weekday","sled",3,"2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"24",2017-12-25,"Motorized","w1718","Mon","weekday","sled",10,"2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"25",2017-12-26,"Non.motorized","w1718","Tue","weekday","no_sled",187,"1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"26",2017-12-26,"Mechanized","w1718","Tue","weekday","no_sled",4,"1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"27",2017-12-26,"Hybrid","w1718","Tue","weekday","sled",8,"1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"28",2017-12-26,"Motorized","w1718","Tue","weekday","sled",17,"1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"29",2017-12-27,"Non.motorized","w1718","Wed","weekday","no_sled",258,"1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"30",2017-12-27,"Mechanized","w1718","Wed","weekday","no_sled",2,"1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"31",2017-12-27,"Hybrid","w1718","Wed","weekday","sled",90,"1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"32",2017-12-27,"Motorized","w1718","Wed","weekday","sled",96,"1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"33",2017-12-28,"Non.motorized","w1718","Thu","weekday","no_sled",254,"1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"34",2017-12-28,"Mechanized","w1718","Thu","weekday","no_sled",22,"1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"35",2017-12-28,"Hybrid","w1718","Thu","weekday","sled",2,"1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"36",2017-12-28,"Motorized","w1718","Thu","weekday","sled",9,"1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"37",2017-12-29,"Non.motorized","w1718","Fri","weekday","no_sled",227,"1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"38",2017-12-29,"Mechanized","w1718","Fri","weekday","no_sled",9,"1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"39",2017-12-29,"Hybrid","w1718","Fri","weekday","sled",10,"1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"40",2017-12-29,"Motorized","w1718","Fri","weekday","sled",16,"1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"41",2017-12-30,"Non.motorized","w1718","Sat","weekend","no_sled",367,"1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"42",2017-12-30,"Mechanized","w1718","Sat","weekend","no_sled",19,"1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"43",2017-12-30,"Hybrid","w1718","Sat","weekend","sled",9,"1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"44",2017-12-30,"Motorized","w1718","Sat","weekend","sled",17,"1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"45",2017-12-31,"Non.motorized","w1718","Sun","weekend","no_sled",326,"1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"46",2017-12-31,"Mechanized","w1718","Sun","weekend","no_sled",9,"1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"47",2017-12-31,"Hybrid","w1718","Sun","weekend","sled",6,"1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"48",2017-12-31,"Motorized","w1718","Sun","weekend","sled",30,"1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"49",2018-01-01,"Non.motorized","w1718","Mon","weekday","no_sled",273,"1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"50",2018-01-01,"Mechanized","w1718","Mon","weekday","no_sled",12,"1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"51",2018-01-01,"Hybrid","w1718","Mon","weekday","sled",18,"1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"52",2018-01-01,"Motorized","w1718","Mon","weekday","sled",42,"1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"53",2018-01-02,"Non.motorized","w1718","Tue","weekday","no_sled",77,"1","1","1",3.2,0,15,0,22,21.3,0,0,-2,0,0,0,-2,-2
"54",2018-01-02,"Mechanized","w1718","Tue","weekday","no_sled",4,"1","1","1",3.2,0,15,0,22,21.3,0,0,-2,0,0,0,-2,-2
"55",2018-01-02,"Hybrid","w1718","Tue","weekday","sled",11,"1","1","1",3.2,0,15,0,22,21.3,0,0,-2,0,0,0,-2,-2
