"","date","Trailhead","year","week","weekend","has_sled","user.count","rating_above","rating_near","rating_below","swe","change_swe","snow_depth","change_depth","air_temp","snow_density","lag1snow","lag2snow","lag3snow","lag4snow","past2snow","past3snow","past4snow","past5snow"
"1",2017-12-22,"Brush Creek Trailhead","w1718","Fri","weekday","no_sled",15,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"2",2017-12-22,"Brush Creek Trailhead","w1718","Fri","weekday","sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"3",2017-12-22,"Gothic Rd","w1718","Fri","weekday","no_sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"4",2017-12-22,"Gothic Rd","w1718","Fri","weekday","sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"5",2017-12-22,"Slate River Rd","w1718","Fri","weekday","no_sled",15,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"6",2017-12-22,"Slate River Rd","w1718","Fri","weekday","sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"7",2017-12-22,"Snodgrass","w1718","Fri","weekday","no_sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"8",2017-12-22,"Snodgrass","w1718","Fri","weekday","sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"9",2017-12-22,"Washington Gulch","w1718","Fri","weekday","no_sled",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"10",2017-12-22,"Washington Gulch","w1718","Fri","weekday","sled",1,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"11",2017-12-23,"Brush Creek Trailhead","w1718","Sat","weekend","no_sled",11,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"12",2017-12-23,"Brush Creek Trailhead","w1718","Sat","weekend","sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"13",2017-12-23,"Gothic Rd","w1718","Sat","weekend","no_sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"14",2017-12-23,"Gothic Rd","w1718","Sat","weekend","sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"15",2017-12-23,"Slate River Rd","w1718","Sat","weekend","no_sled",7,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"16",2017-12-23,"Slate River Rd","w1718","Sat","weekend","sled",4,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"17",2017-12-23,"Snodgrass","w1718","Sat","weekend","no_sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"18",2017-12-23,"Snodgrass","w1718","Sat","weekend","sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"19",2017-12-23,"Washington Gulch","w1718","Sat","weekend","no_sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"20",2017-12-23,"Washington Gulch","w1718","Sat","weekend","sled",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"21",2017-12-24,"Brush Creek Trailhead","w1718","Sun","weekend","no_sled",28,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"22",2017-12-24,"Brush Creek Trailhead","w1718","Sun","weekend","sled",0,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"23",2017-12-24,"Gothic Rd","w1718","Sun","weekend","no_sled",0,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"24",2017-12-24,"Gothic Rd","w1718","Sun","weekend","sled",0,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"25",2017-12-24,"Slate River Rd","w1718","Sun","weekend","no_sled",9,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"26",2017-12-24,"Slate River Rd","w1718","Sun","weekend","sled",7,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"27",2017-12-24,"Snodgrass","w1718","Sun","weekend","no_sled",0,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
