"","date","year","week","weekend","has_sled","user.count","rating_above","rating_near","rating_below","swe","change_swe","snow_depth","change_depth","air_temp","snow_density","lag1snow","lag2snow","lag3snow","lag4snow","past2snow","past3snow","past4snow","past5snow"
"1",2001-02-16,"w2021","Fri","weekday","no_sled",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2001-02-16,"w2021","Fri","weekday","sled",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2012-04-13,"w2021","Fri","weekday","no_sled",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2012-04-13,"w2021","Fri","weekday","sled",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2017-12-22,"w1718","Fri","weekday","no_sled",30,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"6",2017-12-22,"w1718","Fri","weekday","sled",1,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"7",2017-12-23,"w1718","Sat","weekend","no_sled",18,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"8",2017-12-23,"w1718","Sat","weekend","sled",4,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"9",2017-12-24,"w1718","Sun","weekend","no_sled",56,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"10",2017-12-24,"w1718","Sun","weekend","sled",18,"1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"11",2017-12-25,"w1718","Mon","weekday","no_sled",133,"2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"12",2017-12-25,"w1718","Mon","weekday","sled",13,"2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
