"","date","modality","year","week","weekend","has_sled","Zone","user.count","rating_above","rating_near","rating_below","swe","change_swe","snow_depth","change_depth","air_temp","snow_density","lag1snow","lag2snow","lag3snow","lag4snow","past2snow","past3snow","past4snow","past5snow"
"1",2001-02-16,"Non.motorized","w2021","Fri","weekday","no_sled","Brush/Cement",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2001-02-16,"Mechanized","w2021","Fri","weekday","no_sled","Brush/Cement",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001-02-16,"Hybrid","w2021","Fri","weekday","sled","Brush/Cement",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2001-02-16,"Motorized","w2021","Fri","weekday","sled","Brush/Cement",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2012-04-13,"Non.motorized","w2021","Fri","weekday","no_sled","East River",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2012-04-13,"Mechanized","w2021","Fri","weekday","no_sled","East River",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2012-04-13,"Hybrid","w2021","Fri","weekday","sled","East River",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2012-04-13,"Motorized","w2021","Fri","weekday","sled","East River",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2017-12-22,"Non.motorized","w1718","Fri","weekday","no_sled","Slate River Rd",14,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"10",2017-12-22,"Non.motorized","w1718","Fri","weekday","no_sled","Washington Gulch",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"11",2017-12-22,"Non.motorized","w1718","Fri","weekday","no_sled","East River",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"12",2017-12-22,"Non.motorized","w1718","Fri","weekday","no_sled","Brush/Cement",14,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"13",2017-12-22,"Mechanized","w1718","Fri","weekday","no_sled","Slate River Rd",1,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"14",2017-12-22,"Mechanized","w1718","Fri","weekday","no_sled","Washington Gulch",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"15",2017-12-22,"Mechanized","w1718","Fri","weekday","no_sled","East River",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"16",2017-12-22,"Mechanized","w1718","Fri","weekday","no_sled","Brush/Cement",1,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"17",2017-12-22,"Hybrid","w1718","Fri","weekday","sled","Slate River Rd",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"18",2017-12-22,"Hybrid","w1718","Fri","weekday","sled","Washington Gulch",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"19",2017-12-22,"Hybrid","w1718","Fri","weekday","sled","East River",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"20",2017-12-22,"Hybrid","w1718","Fri","weekday","sled","Brush/Cement",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"21",2017-12-22,"Motorized","w1718","Fri","weekday","sled","Slate River Rd",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"22",2017-12-22,"Motorized","w1718","Fri","weekday","sled","Washington Gulch",1,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"23",2017-12-22,"Motorized","w1718","Fri","weekday","sled","East River",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"24",2017-12-22,"Motorized","w1718","Fri","weekday","sled","Brush/Cement",0,"2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"25",2017-12-23,"Non.motorized","w1718","Sat","weekend","no_sled","Slate River Rd",5,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"26",2017-12-23,"Non.motorized","w1718","Sat","weekend","no_sled","Washington Gulch",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"27",2017-12-23,"Non.motorized","w1718","Sat","weekend","no_sled","East River",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"28",2017-12-23,"Non.motorized","w1718","Sat","weekend","no_sled","Brush/Cement",11,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"29",2017-12-23,"Mechanized","w1718","Sat","weekend","no_sled","Slate River Rd",2,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"30",2017-12-23,"Mechanized","w1718","Sat","weekend","no_sled","Washington Gulch",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"31",2017-12-23,"Mechanized","w1718","Sat","weekend","no_sled","East River",0,"2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
