"","date","Trailhead","year","modality","user.count","week","weekend","has_sled","Zone","rating_above","rating_near","rating_below","swe","change_swe","snow_depth","change_depth","air_temp","snow_density","lag1snow","lag2snow","lag3snow","lag4snow","past2snow","past3snow","past4snow","past5snow"
"1",2017-12-22,"Brush Creek Trailhead","w1718","Non.motorized",14,"Fri","weekday","no_sled","Brush/Cement","2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"2",2017-12-22,"Brush Creek Trailhead","w1718","Mechanized",1,"Fri","weekday","no_sled","Brush/Cement","2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"3",2017-12-22,"Brush Creek Trailhead","w1718","Motorized",0,"Fri","weekday","sled","Brush/Cement","2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"4",2017-12-22,"Brush Creek Trailhead","w1718","Hybrid",0,"Fri","weekday","sled","Brush/Cement","2","2","1",2,0,11,3,17,18.2,0,0,0,0,3,3,3,3
"5",2017-12-23,"Brush Creek Trailhead","w1718","Non.motorized",11,"Sat","weekend","no_sled","Brush/Cement","2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"6",2017-12-23,"Brush Creek Trailhead","w1718","Mechanized",0,"Sat","weekend","no_sled","Brush/Cement","2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"7",2017-12-23,"Brush Creek Trailhead","w1718","Motorized",0,"Sat","weekend","sled","Brush/Cement","2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"8",2017-12-23,"Brush Creek Trailhead","w1718","Hybrid",0,"Sat","weekend","sled","Brush/Cement","2","1","1",2.1,0.1,10,-1,21,21,3,0,0,0,2,2,2,2
"9",2017-12-24,"Brush Creek Trailhead","w1718","Non.motorized",28,"Sun","weekend","no_sled","Brush/Cement","1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"10",2017-12-24,"Brush Creek Trailhead","w1718","Mechanized",0,"Sun","weekend","no_sled","Brush/Cement","1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"11",2017-12-24,"Brush Creek Trailhead","w1718","Motorized",0,"Sun","weekend","sled","Brush/Cement","1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"12",2017-12-24,"Brush Creek Trailhead","w1718","Hybrid",0,"Sun","weekend","sled","Brush/Cement","1","1","1",2.4,0.3,14,4,19,17.1,-1,3,0,0,3,6,6,6
"13",2017-12-25,"Brush Creek Trailhead","w1718","Non.motorized",14,"Mon","weekday","no_sled","Brush/Cement","2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"14",2017-12-25,"Brush Creek Trailhead","w1718","Mechanized",0,"Mon","weekday","no_sled","Brush/Cement","2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"15",2017-12-25,"Brush Creek Trailhead","w1718","Motorized",0,"Mon","weekday","sled","Brush/Cement","2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"16",2017-12-25,"Brush Creek Trailhead","w1718","Hybrid",0,"Mon","weekday","sled","Brush/Cement","2","1","1",2.6,0.2,14,0,25,18.6,4,-1,3,0,4,3,6,6
"17",2017-12-26,"Brush Creek Trailhead","w1718","Non.motorized",27,"Tue","weekday","no_sled","Brush/Cement","1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"18",2017-12-26,"Brush Creek Trailhead","w1718","Mechanized",0,"Tue","weekday","no_sled","Brush/Cement","1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"19",2017-12-26,"Brush Creek Trailhead","w1718","Motorized",0,"Tue","weekday","sled","Brush/Cement","1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"20",2017-12-26,"Brush Creek Trailhead","w1718","Hybrid",0,"Tue","weekday","sled","Brush/Cement","1","1","1",3.1,0.5,20,6,25,15.5,0,4,-1,3,6,10,9,12
"21",2017-12-27,"Brush Creek Trailhead","w1718","Non.motorized",24,"Wed","weekday","no_sled","Brush/Cement","1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"22",2017-12-27,"Brush Creek Trailhead","w1718","Mechanized",0,"Wed","weekday","no_sled","Brush/Cement","1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"23",2017-12-27,"Brush Creek Trailhead","w1718","Motorized",0,"Wed","weekday","sled","Brush/Cement","1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"24",2017-12-27,"Brush Creek Trailhead","w1718","Hybrid",0,"Wed","weekday","sled","Brush/Cement","1","1","1",3.1,0,18,-2,27,17.2,6,0,4,-1,4,4,8,7
"25",2017-12-28,"Brush Creek Trailhead","w1718","Non.motorized",37,"Thu","weekday","no_sled","Brush/Cement","1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"26",2017-12-28,"Brush Creek Trailhead","w1718","Mechanized",0,"Thu","weekday","no_sled","Brush/Cement","1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"27",2017-12-28,"Brush Creek Trailhead","w1718","Motorized",0,"Thu","weekday","sled","Brush/Cement","1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"28",2017-12-28,"Brush Creek Trailhead","w1718","Hybrid",0,"Thu","weekday","sled","Brush/Cement","1","1","1",3.2,0.1,17,-1,31,18.8,-2,6,0,4,-3,3,3,7
"29",2017-12-29,"Brush Creek Trailhead","w1718","Non.motorized",27,"Fri","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"30",2017-12-29,"Brush Creek Trailhead","w1718","Mechanized",0,"Fri","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"31",2017-12-29,"Brush Creek Trailhead","w1718","Motorized",0,"Fri","weekday","sled","Brush/Cement","1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"32",2017-12-29,"Brush Creek Trailhead","w1718","Hybrid",0,"Fri","weekday","sled","Brush/Cement","1","1","1",3.2,0,17,0,36,18.8,-1,-2,6,0,-1,-3,3,3
"33",2017-12-30,"Brush Creek Trailhead","w1718","Non.motorized",44,"Sat","weekend","no_sled","Brush/Cement","1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"34",2017-12-30,"Brush Creek Trailhead","w1718","Mechanized",0,"Sat","weekend","no_sled","Brush/Cement","1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"35",2017-12-30,"Brush Creek Trailhead","w1718","Motorized",0,"Sat","weekend","sled","Brush/Cement","1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"36",2017-12-30,"Brush Creek Trailhead","w1718","Hybrid",0,"Sat","weekend","sled","Brush/Cement","1","1","1",3.2,0,15,-2,37,21.3,0,-1,-2,6,-2,-3,-5,1
"37",2017-12-31,"Brush Creek Trailhead","w1718","Non.motorized",33,"Sun","weekend","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"38",2017-12-31,"Brush Creek Trailhead","w1718","Mechanized",1,"Sun","weekend","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"39",2017-12-31,"Brush Creek Trailhead","w1718","Motorized",0,"Sun","weekend","sled","Brush/Cement","1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"40",2017-12-31,"Brush Creek Trailhead","w1718","Hybrid",0,"Sun","weekend","sled","Brush/Cement","1","1","1",3.2,0,15,0,31,21.3,-2,0,-1,-2,-2,-2,-3,-5
"41",2018-01-01,"Brush Creek Trailhead","w1718","Non.motorized",44,"Mon","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"42",2018-01-01,"Brush Creek Trailhead","w1718","Mechanized",1,"Mon","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"43",2018-01-01,"Brush Creek Trailhead","w1718","Motorized",0,"Mon","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"44",2018-01-01,"Brush Creek Trailhead","w1718","Hybrid",0,"Mon","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,-2,0,-1,0,-2,-2,-3
"45",2018-01-02,"Brush Creek Trailhead","w1718","Non.motorized",13,"Tue","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,22,21.3,0,0,-2,0,0,0,-2,-2
"46",2018-01-02,"Brush Creek Trailhead","w1718","Mechanized",1,"Tue","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,22,21.3,0,0,-2,0,0,0,-2,-2
"47",2018-01-02,"Brush Creek Trailhead","w1718","Motorized",0,"Tue","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,22,21.3,0,0,-2,0,0,0,-2,-2
"48",2018-01-02,"Brush Creek Trailhead","w1718","Hybrid",0,"Tue","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,22,21.3,0,0,-2,0,0,0,-2,-2
"49",2018-01-03,"Brush Creek Trailhead","w1718","Non.motorized",24,"Wed","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,0,0,-2,0,0,0,-2
"50",2018-01-03,"Brush Creek Trailhead","w1718","Mechanized",0,"Wed","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,0,0,-2,0,0,0,-2
"51",2018-01-03,"Brush Creek Trailhead","w1718","Motorized",0,"Wed","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,0,0,-2,0,0,0,-2
"52",2018-01-03,"Brush Creek Trailhead","w1718","Hybrid",0,"Wed","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,27,21.3,0,0,0,-2,0,0,0,-2
"53",2018-01-04,"Brush Creek Trailhead","w1718","Non.motorized",15,"Thu","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,29,21.3,0,0,0,0,0,0,0,0
"54",2018-01-04,"Brush Creek Trailhead","w1718","Mechanized",0,"Thu","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,15,0,29,21.3,0,0,0,0,0,0,0,0
"55",2018-01-04,"Brush Creek Trailhead","w1718","Motorized",0,"Thu","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,29,21.3,0,0,0,0,0,0,0,0
"56",2018-01-04,"Brush Creek Trailhead","w1718","Hybrid",0,"Thu","weekday","sled","Brush/Cement","1","1","1",3.2,0,15,0,29,21.3,0,0,0,0,0,0,0,0
"57",2018-01-05,"Brush Creek Trailhead","w1718","Non.motorized",14,"Fri","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,14,-1,32,22.9,0,0,0,0,-1,-1,-1,-1
"58",2018-01-05,"Brush Creek Trailhead","w1718","Mechanized",0,"Fri","weekday","no_sled","Brush/Cement","1","1","1",3.2,0,14,-1,32,22.9,0,0,0,0,-1,-1,-1,-1
"59",2018-01-05,"Brush Creek Trailhead","w1718","Motorized",0,"Fri","weekday","sled","Brush/Cement","1","1","1",3.2,0,14,-1,32,22.9,0,0,0,0,-1,-1,-1,-1
"60",2018-01-05,"Brush Creek Trailhead","w1718","Hybrid",0,"Fri","weekday","sled","Brush/Cement","1","1","1",3.2,0,14,-1,32,22.9,0,0,0,0,-1,-1,-1,-1
"61",2018-01-06,"Brush Creek Trailhead","w1718","Non.motorized",16,"Sat","weekend","no_sled","Brush/Cement","1","1","1",3.2,0,14,0,30,22.9,-1,0,0,0,-1,-1,-1,-1
"62",2018-01-06,"Brush Creek Trailhead","w1718","Mechanized",0,"Sat","weekend","no_sled","Brush/Cement","1","1","1",3.2,0,14,0,30,22.9,-1,0,0,0,-1,-1,-1,-1
"63",2018-01-06,"Brush Creek Trailhead","w1718","Motorized",0,"Sat","weekend","sled","Brush/Cement","1","1","1",3.2,0,14,0,30,22.9,-1,0,0,0,-1,-1,-1,-1
"64",2018-01-06,"Brush Creek Trailhead","w1718","Hybrid",0,"Sat","weekend","sled","Brush/Cement","1","1","1",3.2,0,14,0,30,22.9,-1,0,0,0,-1,-1,-1,-1
"65",2018-01-07,"Brush Creek Trailhead","w1718","Non.motorized",24,"Sun","weekend","no_sled","Brush/Cement","2","2","2",3.5,0.3,18,4,25,19.4,0,-1,0,0,4,3,3,3
"66",2018-01-07,"Brush Creek Trailhead","w1718","Mechanized",0,"Sun","weekend","no_sled","Brush/Cement","2","2","2",3.5,0.3,18,4,25,19.4,0,-1,0,0,4,3,3,3
"67",2018-01-07,"Brush Creek Trailhead","w1718","Motorized",0,"Sun","weekend","sled","Brush/Cement","2","2","2",3.5,0.3,18,4,25,19.4,0,-1,0,0,4,3,3,3
"68",2018-01-07,"Brush Creek Trailhead","w1718","Hybrid",0,"Sun","weekend","sled","Brush/Cement","2","2","2",3.5,0.3,18,4,25,19.4,0,-1,0,0,4,3,3,3
"69",2018-01-08,"Brush Creek Trailhead","w1718","Non.motorized",9,"Mon","weekday","no_sled","Brush/Cement","2","2","1",3.7,0.2,20,2,29,18.5,4,0,-1,0,6,6,5,5
"70",2018-01-08,"Brush Creek Trailhead","w1718","Mechanized",0,"Mon","weekday","no_sled","Brush/Cement","2","2","1",3.7,0.2,20,2,29,18.5,4,0,-1,0,6,6,5,5
"71",2018-01-08,"Brush Creek Trailhead","w1718","Motorized",0,"Mon","weekday","sled","Brush/Cement","2","2","1",3.7,0.2,20,2,29,18.5,4,0,-1,0,6,6,5,5
"72",2018-01-08,"Brush Creek Trailhead","w1718","Hybrid",0,"Mon","weekday","sled","Brush/Cement","2","2","1",3.7,0.2,20,2,29,18.5,4,0,-1,0,6,6,5,5
"73",2018-01-09,"Brush Creek Trailhead","w1718","Non.motorized",14,"Tue","weekday","no_sled","Brush/Cement","2","2","1",3.8,0.1,21,1,34,18.1,2,4,0,-1,3,7,7,6
"74",2018-01-09,"Brush Creek Trailhead","w1718","Mechanized",0,"Tue","weekday","no_sled","Brush/Cement","2","2","1",3.8,0.1,21,1,34,18.1,2,4,0,-1,3,7,7,6
"75",2018-01-09,"Brush Creek Trailhead","w1718","Motorized",0,"Tue","weekday","sled","Brush/Cement","2","2","1",3.8,0.1,21,1,34,18.1,2,4,0,-1,3,7,7,6
"76",2018-01-09,"Brush Creek Trailhead","w1718","Hybrid",0,"Tue","weekday","sled","Brush/Cement","2","2","1",3.8,0.1,21,1,34,18.1,2,4,0,-1,3,7,7,6
"77",2018-01-10,"Brush Creek Trailhead","w1718","Non.motorized",1,"Wed","weekday","no_sled","Brush/Cement","3","3","3",4,0.2,21,0,28,19,1,2,4,0,1,3,7,7
"78",2018-01-10,"Brush Creek Trailhead","w1718","Mechanized",0,"Wed","weekday","no_sled","Brush/Cement","3","3","3",4,0.2,21,0,28,19,1,2,4,0,1,3,7,7
"79",2018-01-10,"Brush Creek Trailhead","w1718","Motorized",0,"Wed","weekday","sled","Brush/Cement","3","3","3",4,0.2,21,0,28,19,1,2,4,0,1,3,7,7
"80",2018-01-10,"Brush Creek Trailhead","w1718","Hybrid",0,"Wed","weekday","sled","Brush/Cement","3","3","3",4,0.2,21,0,28,19,1,2,4,0,1,3,7,7
"81",2018-01-11,"Brush Creek Trailhead","w1718","Non.motorized",9,"Thu","weekday","no_sled","Brush/Cement","3","3","3",4.1,0.1,26,5,17,15.8,0,1,2,4,5,6,8,12
"82",2018-01-11,"Brush Creek Trailhead","w1718","Mechanized",0,"Thu","weekday","no_sled","Brush/Cement","3","3","3",4.1,0.1,26,5,17,15.8,0,1,2,4,5,6,8,12
"83",2018-01-11,"Brush Creek Trailhead","w1718","Motorized",0,"Thu","weekday","sled","Brush/Cement","3","3","3",4.1,0.1,26,5,17,15.8,0,1,2,4,5,6,8,12
"84",2018-01-11,"Brush Creek Trailhead","w1718","Hybrid",0,"Thu","weekday","sled","Brush/Cement","3","3","3",4.1,0.1,26,5,17,15.8,0,1,2,4,5,6,8,12
"85",2018-01-12,"Brush Creek Trailhead","w1718","Non.motorized",1,"Fri","weekday","no_sled","Brush/Cement","3","3","3",4.3,0.2,24,-2,22,17.9,5,0,1,2,3,3,4,6
"86",2018-01-12,"Brush Creek Trailhead","w1718","Mechanized",0,"Fri","weekday","no_sled","Brush/Cement","3","3","3",4.3,0.2,24,-2,22,17.9,5,0,1,2,3,3,4,6
"87",2018-01-12,"Brush Creek Trailhead","w1718","Motorized",0,"Fri","weekday","sled","Brush/Cement","3","3","3",4.3,0.2,24,-2,22,17.9,5,0,1,2,3,3,4,6
"88",2018-01-12,"Brush Creek Trailhead","w1718","Hybrid",0,"Fri","weekday","sled","Brush/Cement","3","3","3",4.3,0.2,24,-2,22,17.9,5,0,1,2,3,3,4,6
"89",2018-01-13,"Brush Creek Trailhead","w1718","Non.motorized",8,"Sat","weekend","no_sled","Brush/Cement","3","3","3",4.4,0.1,24,0,24,18.3,-2,5,0,1,-2,3,3,4
"90",2018-01-13,"Brush Creek Trailhead","w1718","Mechanized",0,"Sat","weekend","no_sled","Brush/Cement","3","3","3",4.4,0.1,24,0,24,18.3,-2,5,0,1,-2,3,3,4
"91",2018-01-13,"Brush Creek Trailhead","w1718","Motorized",0,"Sat","weekend","sled","Brush/Cement","3","3","3",4.4,0.1,24,0,24,18.3,-2,5,0,1,-2,3,3,4
"92",2018-01-13,"Brush Creek Trailhead","w1718","Hybrid",0,"Sat","weekend","sled","Brush/Cement","3","3","3",4.4,0.1,24,0,24,18.3,-2,5,0,1,-2,3,3,4
"93",2018-01-14,"Brush Creek Trailhead","w1718","Non.motorized",19,"Sun","weekend","no_sled","Brush/Cement","3","3","2",4.4,0,24,0,27,18.3,0,-2,5,0,0,-2,3,3
"94",2018-01-14,"Brush Creek Trailhead","w1718","Mechanized",0,"Sun","weekend","no_sled","Brush/Cement","3","3","2",4.4,0,24,0,27,18.3,0,-2,5,0,0,-2,3,3
"95",2018-01-14,"Brush Creek Trailhead","w1718","Motorized",0,"Sun","weekend","sled","Brush/Cement","3","3","2",4.4,0,24,0,27,18.3,0,-2,5,0,0,-2,3,3
"96",2018-01-14,"Brush Creek Trailhead","w1718","Hybrid",0,"Sun","weekend","sled","Brush/Cement","3","3","2",4.4,0,24,0,27,18.3,0,-2,5,0,0,-2,3,3
"97",2018-01-15,"Brush Creek Trailhead","w1718","Non.motorized",23,"Mon","weekday","no_sled","Brush/Cement","3","3","2",4.4,0,23,-1,27,19.1,0,0,-2,5,-1,-1,-3,2
"98",2018-01-15,"Brush Creek Trailhead","w1718","Mechanized",0,"Mon","weekday","no_sled","Brush/Cement","3","3","2",4.4,0,23,-1,27,19.1,0,0,-2,5,-1,-1,-3,2
"99",2018-01-15,"Brush Creek Trailhead","w1718","Motorized",0,"Mon","weekday","sled","Brush/Cement","3","3","2",4.4,0,23,-1,27,19.1,0,0,-2,5,-1,-1,-3,2
"100",2018-01-15,"Brush Creek Trailhead","w1718","Hybrid",0,"Mon","weekday","sled","Brush/Cement","3","3","2",4.4,0,23,-1,27,19.1,0,0,-2,5,-1,-1,-3,2
"101",2018-01-16,"Brush Creek Trailhead","w1718","Non.motorized",6,"Tue","weekday","no_sled","Brush/Cement","3","3","2",4.4,0,22,-1,20,20,-1,0,0,-2,-2,-2,-2,-4
"102",2018-01-16,"Brush Creek Trailhead","w1718","Mechanized",0,"Tue","weekday","no_sled","Brush/Cement","3","3","2",4.4,0,22,-1,20,20,-1,0,0,-2,-2,-2,-2,-4
"103",2018-01-16,"Brush Creek Trailhead","w1718","Motorized",0,"Tue","weekday","sled","Brush/Cement","3","3","2",4.4,0,22,-1,20,20,-1,0,0,-2,-2,-2,-2,-4
"104",2018-01-16,"Brush Creek Trailhead","w1718","Hybrid",0,"Tue","weekday","sled","Brush/Cement","3","3","2",4.4,0,22,-1,20,20,-1,0,0,-2,-2,-2,-2,-4
"105",2018-01-17,"Brush Creek Trailhead","w1718","Non.motorized",6,"Wed","weekday","no_sled","Brush/Cement","2","2","2",4.4,0,22,0,24,20,-1,-1,0,0,-1,-2,-2,-2
"106",2018-01-17,"Brush Creek Trailhead","w1718","Mechanized",0,"Wed","weekday","no_sled","Brush/Cement","2","2","2",4.4,0,22,0,24,20,-1,-1,0,0,-1,-2,-2,-2
"107",2018-01-17,"Brush Creek Trailhead","w1718","Motorized",0,"Wed","weekday","sled","Brush/Cement","2","2","2",4.4,0,22,0,24,20,-1,-1,0,0,-1,-2,-2,-2
"108",2018-01-17,"Brush Creek Trailhead","w1718","Hybrid",0,"Wed","weekday","sled","Brush/Cement","2","2","2",4.4,0,22,0,24,20,-1,-1,0,0,-1,-2,-2,-2
